ID	Chr	Start	End	SummitPosition	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Npas2_CT0/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_CT4/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_CT8/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_CT12/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_CT16/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_CT20/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	Npas2_Input/ Tag Count in given bp (10403757.0 Total, normalization factor = 0.96, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
1211	chr7	119328911	119329150	119329030	8	Intergenic	Intergenic	-26459	uc009jgj.1	Dkk3	dickkopf-related protein 3 precursor	8.65	3.84	5.77	1.92	1.92	1.92	2.88	Npas2-1211	0	default	1	24	1.981180714	2.3458722769	4.0033333333	0.3772095878	0.2388117184	0.6266418298	0.1187240303	0.0107143111	0.1604507359
1212	chr7	125729511	125729800	125729695	8	Intergenic	Intergenic	-1455	uc009jka.1	Tmc7	transmembrane channel-like protein 7	9.61	10.57	5.77	7.69	1.92	0.96	1.92	Npas2-1212	0	default	1	24	3.1755681213	5.0154169824	6.0866666667	0.4801888665	0.3646752813	0.5955081113	0.052638693	0.0058814776	0.0880772825
1213	chr7	127317041	127317470	127317240	8	promoter-TSS (uc009jmj.2)	promoter-TSS (NM_028085)	-117	uc009jmj.2	Anks4b	ankyrin repeat and SAM domain-containing protein	9.61	4.81	5.77	5.77	2.88	2.88	1.92	Npas2-1213	0	default	1	24	1.2439965951	3.1509616683	5.2866666667	0.1818418938	2.89812992569E-005	0.4297453434	0.4052915691	0.0298030915	0.4463122176
1214	chr7	127318731	127318950	127318840	8	intron (uc009jmj.2, intron 1 of 1)	intron (NM_028085, intron 1 of 1)	1468	uc009jmj.2	Anks4b	ankyrin repeat and SAM domain-containing protein	1.92	3.84	7.69	0.96	0	1.92	2.88	Npas2-1214	0	burg	1	22.4269662921	2.7272313521	7.0256315032	2.7216666667	0.5865995439	0.4947327759	0.9213830718	0.0187788625	0.0028655018	0.0429119391
1215	chr7	128062191	128062401	128062305	8	intron (uc009jnf.2, intron 1 of 20)	MIR|SINE|MIR	1038	uc009jnf.2	Polr3e	DNA-directed RNA polymerase III subunit RPC5	0.96	1.92	4.81	2.88	7.69	1.92	3.84	Npas2-1215	0	mle	1	24.3414634146	2.0298385474	12.9400523574	3.3633333333	0.4182471473	0.2889687356	0.6757060029	0.0873621567	0.0085284351	0.1277164409
1216	chr7	130342261	130342530	130342425	8	Intergenic	B3|SINE|B2	-15985	uc009jph.1	Slc5a11	sodium/myo-inositol cotransporter 2	1.92	1.92	9.61	1.92	0.96	0	1.92	Npas2-1216	0	burg	1	22.6818181818	3.2104950423	8.5934113844	2.7216666667	0.5400858222	0.4378826715	1.1608060087	0.0303420968	0.0039830991	0.0596483686
1217	chr7	133419341	133419590	133419485	8	intron (uc009jqw.1, intron 1 of 3)	intron (NM_145587, intron 1 of 3)	3332	uc009jqw.1	Sbk1	serine/threonine-protein kinase SBK1	0.96	2.88	9.61	8.65	4.81	2.88	2.88	Npas2-1217	0	mle	1	24.0481927711	4.2098514998	10.5255622648	4.965	0.8962367135	0.8731782054	0.636455983	3.73419277208E-005	0.0001100718	0.0016483662
1218	chr7	133726801	133727060	133726895	8	promoter-TSS (uc009jrx.2)	promoter-TSS (NM_009907)	-180	uc009jrx.2	Cln3	battenin	2.88	4.81	9.61	1.92	6.73	0.96	2.88	Npas2-1218	0	yule-walker	1	24.6419753086	2.3950259882	8.3879580545	4.485	0.3190057617	0.1676737088	0.6626248173	0.1774783852	0.0147969589	0.2215898823
1219	chr7	139856621	139857040	139856775	8	intron (uc009kce.1, intron 6 of 6)	intron (NM_029609, intron 6 of 6)	54504	uc009kce.1	Lhpp	phospholysine phosphohistidine inorganic	11.53	4.81	4.81	2.88	1.92	4.81	3.84	Npas2-1219	1	mle	1	25.7548387097	3.1966556241	24.5453949191	5.1266666667	0.5959993984	0.5062214869	0.5992760063	0.0169324208	0.0026820328	0.0401644239
1220	chr7	146099601	146099900	146099740	8	intron (uc009kfg.1, intron 1 of 5)	intron (NM_009760, intron 1 of 5)	1439	uc009kfg.1	Bnip3	BCL2/adenovirus E1B 19 kDa protein-interacting	6.73	7.69	10.57	3.84	3.84	1.92	1.92	Npas2-1220	1	default	1	24	3.0985699126	6.163610239	5.765	0.6597960665	0.5841951924	0.5003374421	0.0078131649	0.001618322	0.0242349651
1221	chr7	147979471	147979730	147979625	8	Intergenic	Intergenic	-5847	uc009kid.2	Syce1	synaptonemal complex central element protein 1	1.92	7.69	8.65	1.92	1.92	5.77	2.88	Npas2-1221	0	burg	1	21.5783783784	2.9733942705	6.6936552622	4.645	0.5006513951	0.3896850384	0.6143150641	0.0439356731	0.0051731519	0.0774698462
1222	chr8	3211511	3211861	3211660	8	exon (uc009krd.2, exon 3 of 21)	exon (NM_010568, exon 3 of 21)	67931	uc009krd.2	Insr	insulin receptor precursor	2.88	5.77	13.46	7.69	6.73	0.96	2.88	Npas2-1222	0	mle	1	24.0481927711	5.064263409	9.3797754107	6.2483333333	0.8226197076	0.7832018649	0.6329935204	0.0004169406	0.0003100679	0.0046433805
1223	chr8	10854691	10854950	10854800	8	Intergenic	Intergenic	27634	uc009kuu.1	AK047141	Mus musculus 16 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:9630015P16 product:unclassifiable, full insert sequence.	8.65	7.69	7.69	2.88	3.84	1.92	0.96	Npas2-1223	1	mle	1	27.9160839161	2.4657896466	1.0967104557	5.445	0.6069765736	0.5196380343	0.4855167293	0.0149583251	0.0024798247	0.0371362836
1224	chr8	10974091	10974480	10974315	8	Intergenic	Intergenic	-33565	uc009kva.1	AK162519	Mus musculus adult male hypothalamus cDNA, RIKEN full-length enriched library, clone:A230089I11 product:unclassifiable, full insert sequence.	1.92	12.5	10.57	7.69	7.69	0.96	4.81	Npas2-1224	0	yule-walker	1	24.6419753086	4.9085772183	8.1523911206	6.8883333333	0.6756101563	0.6035235243	0.6106484434	0.0063067065	0.0014375125	0.0215272763
1225	chr8	11530871	11531250	11531025	8	intron (uc009kvj.2, intron 6 of 14)	intron (NM_024248, intron 6 of 14)	19711	uc009kvj.2	Cars2	probable cysteinyl-tRNA synthetase,	10.57	8.65	0.96	2.88	0.96	2.88	3.84	Npas2-1225	0	burg	1	24.95	3.9185403892	0.1046033084	4.4833333333	0.6381221914	0.5577049006	0.8364447748	0.0103164145	0.001933977	0.028962015
1226	chr8	13057441	13057710	13057555	8	Intergenic	Intergenic	-3333	uc009kwu.1	Proz	vitamin K-dependent protein Z precursor	9.61	9.61	10.57	0.96	0.96	1.92	0.96	Npas2-1226	0	default	1	24	4.7315617716	4	5.605	0.7121477986	0.6481806427	0.7758451111	0.0036835197	0.0010578137	0.0158411476
1227	chr8	14850491	14850780	14850605	8	Intergenic	Intergenic	-37901	uc009kze.1	Cln8	protein CLN8	2.88	6.73	4.81	9.61	1.92	0	1.92	Npas2-1227	0	mle	1	24.1939393939	3.4806358335	8.83158476	4.325	0.6159652656	0.5306242135	0.7343734429	0.0134792981	0.0023168347	0.0346954488
1228	chr8	24586561	24586730	24586645	8	Intergenic	Intergenic	64671	uc009lev.2	Sfrp1	secreted frizzled-related protein 1 precursor	3.84	2.88	5.77	7.69	1.92	0.96	0.96	Npas2-1228	1	burg	1	23.9041916168	2.5100892699	9.6560385445	3.8433333333	0.6200988572	0.535676381	0.5956961674	0.0128386009	0.0022417886	0.0335716057
1229	chr8	35088221	35088410	35088315	8	Intergenic	Intergenic	-48002	uc009lkn.1	Rbpms	RNA-binding protein with multiple splicing	5.77	4.81	7.69	2.88	1.92	0	0.96	Npas2-1229	0	burg	1	24.3414634146	2.5472465356	5.9854308301	3.845	0.6015353667	0.5129876705	0.6617248208	0.0159130714	0.0025811086	0.038653047
1230	chr8	36269411	36269690	36269480	8	Intergenic	Intergenic	-169245	uc009lkw.1	Ppp1r3b	protein phosphatase 1 regulatory subunit 3B	5.77	3.84	10.57	4.81	4.81	2.88	0.96	Npas2-1230	1	burg	1	23.9041916168	2.1293591809	8.4327999754	5.4466666667	0.3867077401	0.2504205713	0.4517974843	0.1107907944	0.0101849307	0.1525230703
1231	chr8	36274521	36274691	36274635	8	Intergenic	Intergenic	-164189	uc009lkw.1	Ppp1r3b	protein phosphatase 1 regulatory subunit 3B	1.92	3.84	7.69	0.96	0.96	0.96	0.96	Npas2-1231	0	burg	1	22.9425287356	2.6407281172	7.2042712577	2.7216666667	0.5983301895	0.5090702316	0.8985961898	0.0164972426	0.0026378675	0.0395030323
1232	chr8	36625971	36626180	36626075	8	Intergenic	MTC|LTR|MaLR	-24777	uc009lla.1	Mfhas1	malignant fibrous histiocytoma-amplified	7.69	1.92	3.84	0.96	4.81	1.92	2.88	Npas2-1232	0	mle	1	25.106918239	1.4464698446	22.8018431655	3.5233333333	0.2053454299	0.0287555255	0.6433538312	0.3554698199	0.0265984743	0.3983219007
1233	chr8	37676401	37676610	37676465	8	intron (uc012gcj.1, intron 4 of 16)	intron (NM_001194940, intron 4 of 16)	124407	uc009llo.1	6430573F11Rik	hypothetical protein LOC319582	0.96	4.81	8.65	1.92	5.77	1.92	2.88	Npas2-1233	0	mle	1	24.0481927711	2.316942143	8.8876854692	4.005	0.3711466059	0.2314014072	0.6708024446	0.1240144643	0.0111025719	0.166265083
1234	chr8	41755191	41755500	41755390	8	Intergenic	Intergenic	-5103	uc009lnb.1	Adam24	disintegrin and metalloproteinase	1.92	2.88	9.61	4.81	3.84	0.96	2.88	Npas2-1234	0	mle	1	24.0481927711	3.3787687239	9.3565840845	4.0033333333	0.7298260403	0.6697873826	0.6989421884	0.0027694638	0.0008947349	0.0133989838
1235	chr8	42189331	42189540	42189435	8	intron (uc009lnn.1, intron 1 of 13)	ORR1E|LTR|MaLR	29645	uc009lnn.1	Mtus1	microtubule-associated tumor suppressor 1	4.81	7.69	6.73	7.69	7.69	0.96	3.84	Npas2-1235	0	yule-walker	1	24.95	2.5922688628	9.0499268648	5.9283333333	0.553140268	0.4538381054	0.4125407866	0.0266544971	0.0036600606	0.0548107487
1236	chr8	46367061	46367360	46367175	8	intron (uc012gdd.1, intron 6 of 14)	intron (NM_008455, intron 6 of 14)	13176	uc012gdd.1	Klkb1	plasma kallikrein precursor	8.65	3.84	8.65	7.69	4.81	0.96	3.84	Npas2-1236	0	mle	1	25.106918239	2.0939536003	7.9361746893	5.7666666667	0.2904253993	0.1327421546	0.4907735719	0.2135459193	0.0172742008	0.2586874887
1237	chr8	47961441	47961700	47961600	8	Intergenic	Intergenic	-110709	uc009lqr.1	Enpp6	ectonucleotide pyrophosphatase/phosphodiesterase	4.81	2.88	5.77	8.65	6.73	2.88	2.88	Npas2-1237	1	yule-walker	1	22.1777777778	2.4552583249	13.4497351508	5.2866666667	0.7158128668	0.6526601706	0.3894952253	0.0034771214	0.0010246714	0.015344829
1238	chr8	49879691	49879990	49879870	8	Intergenic	Intergenic	-60931	uc009lrv.1	AK032387	Mus musculus adult male olfactory brain cDNA, RIKEN full-length enriched library, clone:6430532D13 product:unclassifiable, full insert sequence.	9.61	4.81	2.88	3.84	2.88	0	3.84	Npas2-1238	0	default	1	24	1.5830862834	1.8798448557	4.0033333333	0.1838922592	0.0025349835	0.7258486499	0.4007409628	0.02957627	0.4429154825
1239	chr8	79064501	79064790	79064690	8	Intergenic	Intergenic	359427	uc009mhk.2	Gm10649	Mus musculus adult male diencephalon cDNA, RIKEN full-length enriched library, clone:9330114L22 product:unclassifiable, full insert sequence.	0.96	3.84	9.61	2.88	0.96	0	2.88	Npas2-1239	0	burg	1	22.6818181818	3.8407134721	8.5612518355	3.0416666667	0.7486865711	0.6928391425	1.0544910433	0.0019997266	0.0007383483	0.0110570365
1240	chr8	79656971	79657221	79657090	8	intron (uc009mhl.1, intron 3 of 8)	intron (NM_001083906, intron 3 of 8)	230689	uc009mhl.1	Nr3c2	mineralocorticoid receptor	4.81	4.81	10.57	7.69	3.84	3.84	2.88	Npas2-1240	0	burg	1	22.9425287356	2.8541137703	9.4224027441	5.9266666667	0.7152768785	0.6520050737	0.412565089	0.0035067299	0.0010302254	0.0154280035
1241	chr8	87415911	87416210	87416025	8	intron (uc009mnx.1, intron 6 of 11)	intron (NM_008097, intron 5 of 10)	1760	uc009mnx.1	Gcdh	glutaryl-CoA dehydrogenase, mitochondrial	0	2.88	9.61	0.96	1.92	0	1.92	Npas2-1241	1	burg	1	22.9425287356	3.435253909	8.5782433546	2.5616666667	0.5528850196	0.4535261351	1.2935526241	0.0267230789	0.0036600606	0.0548107487
1242	chr8	93393621	93393920	93393805	8	intron (uc009msf.2, intron 2 of 39)	MIRb|SINE|MIR	41036	uc009msf.2	Chd9	chromodomain-helicase-DNA-binding protein 9	2.88	5.77	9.61	10.57	0.96	0.96	0.96	Npas2-1242	0	mle	1	24.0481927711	4.9352670675	8.8433330582	5.125	0.8281719186	0.7899879005	0.7553418726	0.0003613463	0.0002877246	0.0043087811
1243	chr8	96978821	96979100	96978930	8	Intergenic	RMER19B|LTR|ERVK	-17703	uc012gio.1	Nlrc5	protein NLRC5	2.88	1.92	9.61	3.84	2.88	1.92	0.96	Npas2-1243	1	burg	1	23.0751445087	2.5667581549	9.3925221107	3.8416666667	0.4835561921	0.3687909015	0.6928584912	0.0511215291	0.0057628114	0.0863002131
1244	chr8	108465911	108466360	108466105	8	exon (uc009neq.2, exon 3 of 6)	exon (NM_008490, exon 3 of 6)	1167	uc009neq.2	Lcat	phosphatidylcholine-sterol acyltransferase	5.77	2.88	12.5	4.81	5.77	0.96	3.84	Npas2-1244	0	mle	1	24.1939393939	3.167528202	8.9141776427	5.4483333333	0.3967079829	0.2626430902	0.6578651238	0.102890222	0.0095985565	0.1437419018
1245	chr8	113603351	113603700	113603460	8	intron (uc012gkt.1, intron 2 of 11)	intron (NM_181549, intron 2 of 11)	2083	uc012gkt.1	Clec18a	C-type lectin domain family 18 member A	3.84	3.84	12.5	0.96	2.88	0.96	2.88	Npas2-1245	0	burg	1	23.0751445087	3.4475730767	7.593020471	4.1633333333	0.4002574732	0.2669813561	0.9399195671	0.1001940203	0.0094138738	0.1409762109
1246	chr8	114232341	114232600	114232385	8	Intergenic	Intergenic	-17560	uc009nms.2	Ctrb1	chymotrypsinogen B precursor	4.81	5.77	8.65	2.88	2.88	0.96	0	Npas2-1246	1	default	1	24	2.6750378395	6.5621412851	4.325	0.6593295749	0.583625036	0.5704953406	0.0078614914	0.0016244223	0.0243263189
1247	chr8	118507471	118507820	118507625	8	Intergenic	Intergenic	-276851	uc009nof.1	Maf	transcription factor Maf	7.69	5.77	13.46	3.84	2.88	0	8.65	Npas2-1247	0	mle	1	24.3414634146	4.1250730017	6.6170875069	5.6066666667	0.528173765	0.4233234906	0.7568268239	0.0340423384	0.0043282888	0.0648177104
1248	chr8	126868961	126869290	126869180	8	3' UTR (uc009nwz.1, exon 16 of 16)	3' UTR (NM_139272, exon 16 of 16)	-13430	uc009nxa.1	AK085459	Mus musculus 0 day neonate kidney cDNA, RIKEN full-length enriched library, clone:D630029M15 product:unclassifiable, full insert sequence.	10.57	4.81	7.69	0.96	2.88	0.96	1.92	Npas2-1248	0	default	1	24	2.6531586019	2.7825584487	4.645	0.3414303106	0.1950814907	0.7595154189	0.1526538716	0.0131443164	0.1968409562
1249	chr8	128434021	128434310	128434130	8	promoter-TSS (uc009nyq.1)	promoter-TSS (NM_145608)	-185	uc009nyq.1	BC021891	mitogen-activated protein kinase kinase kinase	3.84	4.81	8.65	6.73	3.84	2.88	0	Npas2-1249	1	burg	1	23.0751445087	2.5424929025	9.4562076594	5.125	0.8688182065	0.8396666968	0.3856917424	0.0001072583	0.0001580396	0.0023667002
1250	chr8	128948171	128948440	128948275	8	intron (uc009nyu.2, intron 1 of 1)	intron (NM_174987, intron 1 of 1)	1904	uc009nyu.2	1810063B05Rik	hypothetical protein LOC67892	1.92	3.84	8.65	4.81	0.96	0	0	Npas2-1250	0	burg	1	22.9425287356	3.6509636207	8.7958273082	3.3633333333	0.859970902	0.8288533247	0.8534818304	0.000143874	0.000187463	0.0028073265
1251	chr8	129114231	129114370	129114265	8	3' UTR (uc009nyw.2, exon 2 of 2)	3' UTR (NM_001164598, exon 2 of 2)	3036	uc009nyw.2	Irf2bp2	interferon regulatory factor 2 binding protein	2.88	5.77	6.73	2.88	1.92	2.88	0	Npas2-1251	0	burg	1	21.2340425532	2.1144887462	7.7415103476	3.8433333333	0.7162757011	0.6532258569	0.4572273028	0.0034517107	0.0010202525	0.0152786556
1252	chr8	129183931	129184260	129184040	8	Intergenic	Intergenic	-66759	uc009nyw.2	Irf2bp2	interferon regulatory factor 2 binding protein	3.84	0.96	11.53	6.73	3.84	1.92	2.88	Npas2-1252	1	burg	1	23.3450292398	3.5767809025	10.2590828488	4.8033333333	0.5363073433	0.4332645307	0.730645326	0.0314800912	0.0040848699	0.0611724241
1253	chr8	129353501	129353791	129353660	8	intron (uc009nyy.1, intron 4 of 8)	Intergenic	-19274	uc009nyz.1	AK041328	Mus musculus 3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630001O12 product:unclassifiable, full insert sequence.	0.96	3.84	10.57	2.88	0.96	0.96	0.96	Npas2-1253	0	burg	1	22.5536723164	3.9043731205	8.5459796291	3.3616666667	0.6769501207	0.6051612586	1.0140599369	0.0061903203	0.0014234934	0.021317335
1254	chr8	130874311	130874770	130874445	8	Intergenic	Intergenic	-8433	uc009nzt.2	Nrp1	neuropilin-1 precursor	11.53	8.65	6.73	3.84	5.77	0.96	4.81	Npas2-1254	0	default	1	24	2.3686729942	3.0978430285	6.2466666667	0.3152083369	0.1630324118	0.5384969055	0.1819755706	0.0151159487	0.2263668716
1255	chr9	21741191	21741480	21741370	8	Intergenic	Intergenic	-1383	uc009onb.1	BC018242	lipid phosphate phosphatase-related protein type	0.96	1.92	8.65	1.92	5.77	0	0.96	Npas2-1255	0	yule-walker	1	24.1939393939	2.7897128942	9.9080391462	3.2033333333	0.4215243656	0.2929742246	0.943795339	0.0851692494	0.0083713786	0.1253644625
1256	chr9	21889381	21889621	21889515	8	exon (uc009onr.1, exon 3 of 3)	intron (NM_012029, intron 1 of 8)	325	uc009ons.1	Ecsit	evolutionarily conserved signaling intermediate	0	0.96	9.61	0.96	1.92	0	0	Npas2-1256	1	burg	1	23.2093023256	3.2008473695	9.0627983581	2.2416666667	0.4670074014	0.3485646017	1.4988148697	0.0589176345	0.0063275819	0.0947578577
1257	chr9	25328421	25328840	25328535	8	intron (uc009opn.1, intron 2 of 7)	intron (NM_026189, intron 2 of 7)	39448	uc009opn.1	Eepd1	endonuclease/exonuclease/phosphatase family	1.92	5.77	11.53	0.96	0.96	0	6.73	Npas2-1257	0	burg	1	23.0751445087	4.4943945517	7.344853328	3.5233333333	0.646285098	0.5676817865	1.1428328642	0.0093097948	0.0018120643	0.0271363277
1258	chr9	43893941	43894450	43894085	8	intron (uc009pbo.1, intron 2 of 12)	intron (NM_198091, intron 1 of 11)	-15658	uc009pbr.2	Mfrp	membrane frizzled-related protein isoform 1	13.46	7.69	10.57	9.61	2.88	4.81	0.96	Npas2-1258	0	default	1	24	2.4477675993	4.8678544177	8.17	0.2839669907	0.1248485442	0.4336732786	0.2224327327	0.0178647493	0.2675311675
1259	chr9	44128961	44129250	44129095	8	promoter-TSS (uc009pct.1)	promoter-TSS (NM_027909)	-740	uc009pct.1	C2cd2l	C2 domain-containing protein 2-like	2.88	5.77	13.46	6.73	5.77	0	3.84	Npas2-1259	0	mle	1	24.0481927711	5.170161653	8.9998744614	5.7683333333	0.7990813927	0.7544328133	0.7137403207	0.0007304504	0.0004000696	0.0059911888
1260	chr9	44607871	44608091	44607980	8	promoter-TSS (uc009pem.1)	promoter-TSS (NM_027865)	-682	uc009pem.1	Tmem25	transmembrane protein 25 precursor	4.81	0.96	5.77	4.81	7.69	2.88	1.92	Npas2-1260	0	burg	1	22.8114285714	1.9612477508	14.7554979033	4.4866666667	0.413778573	0.2835071448	0.4739958637	0.0904227264	0.0087940982	0.1316948431
1261	chr9	51890001	51890350	51890155	8	intron (uc009plq.2, intron 11 of 13)	intron (NM_009041, intron 11 of 13)	-33365	uc012gth.1	Gapdh	RecName: Full=Glyceraldehyde-3-phosphate dehydrogenase;          EC=1.2.1.12;	0	0.96	9.61	0.96	1.92	0.96	2.88	Npas2-1261	0	burg	1	22.4269662921	2.9075976721	9.3320303857	2.4016666667	0.411475322	0.2806920602	1.3619563986	0.0920324647	0.0088618775	0.1327098638
1262	chr9	51973911	51974110	51974010	8	intron (uc009plv.2, intron 1 of 5)	intron (NM_001162921, intron 1 of 5)	2206	uc009plv.2	Zc3h12c	probable ribonuclease ZC3H12C	3.84	2.88	7.69	2.88	0.96	0	0.96	Npas2-1262	1	default	1	24	2.5588361644	7.2931791376	3.0416666667	0.5991821762	0.5101115487	0.8039872489	0.0163403598	0.0026180928	0.0392069
1263	chr9	55080531	55080890	55080625	8	intron (uc009psf.2, intron 5 of 7)	L1M4|LINE|L1	23968	uc009psc.1	Fbxo22	F-box only protein 22	0.96	2.88	8.65	2.88	0.96	0.96	4.81	Npas2-1263	0	burg	1	22.5536723164	3.1180657173	8.7958300354	2.8816666667	0.6820615805	0.6114085984	0.9434907446	0.0057616059	0.0013804993	0.0206734826
1264	chr9	55098521	55098691	55098635	8	intron (uc009psf.2, intron 3 of 7)	intron (NM_032002, intron 3 of 7)	32826	uc009psf.2	Nrg4	pro-neuregulin-4, membrane-bound isoform	0.96	5.77	8.65	4.81	0.96	0.96	2.88	Npas2-1264	0	mle	1	23.9041916168	3.8798750013	7.9857801727	3.685	0.8810167879	0.8545760741	0.8030375311	0.000069133	0.0001313185	0.0019665432
1265	chr9	55098761	55099090	55098840	8	intron (uc009psf.2, intron 3 of 7)	intron (NM_032002, intron 3 of 7)	32507	uc009psf.2	Nrg4	pro-neuregulin-4, membrane-bound isoform	1.92	2.88	8.65	1.92	3.84	0	0.96	Npas2-1265	0	mle	1	24.0481927711	2.6680766094	8.6109519639	3.2016666667	0.4945978711	0.3822862869	0.8432267424	0.0463838508	0.0053849981	0.0806423209
1266	chr9	55125411	55125720	55125555	8	intron (uc009psf.2, intron 3 of 7)	intron (NM_032002, intron 3 of 7)	5867	uc009psf.2	Nrg4	pro-neuregulin-4, membrane-bound isoform	6.73	4.81	11.53	8.65	3.84	1.92	0.96	Npas2-1266	1	burg	1	23.6213017751	3.5107664904	8.9122675825	6.2466666667	0.6535945585	0.5766155715	0.5083365504	0.0084748335	0.00170861	0.0255870613
1267	chr9	62254521	62254810	62254630	8	Intergenic	Intergenic	-62824	uc009qai.1	AK028224	Mus musculus 10, 11 days embryo whole body cDNA, RIKEN full-length enriched library, clone:2810048J24 product:unclassifiable, full insert sequence.	3.84	3.84	8.65	6.73	4.81	1.92	1.92	Npas2-1267	0	mle	1	24.0481927711	2.786732502	9.7042096297	4.965	0.8223420008	0.7828624454	0.4391300997	0.0004198861	0.0003107924	0.0046542299
1268	chr9	65931941	65932240	65932135	8	Intergenic	Intergenic	-14552	uc009qej.1	Snx22	sorting nexin 22	8.65	8.65	3.84	8.65	5.77	4.81	3.84	Npas2-1268	0	default	1	24	0.5524568031	1.9697003118	6.7283333333	0.0413098862	-0.1717323613	0.2973698257	0.827088762	0.0560610124	0.8395342077
1269	chr9	66027761	66028090	66027870	8	intron (uc009qen.2, intron 2 of 11)	intron (NM_010019, intron 2 of 11)	21892	uc009qen.2	Dapk2	death-associated protein kinase 2	6.73	10.57	7.69	9.61	2.88	2.88	3.84	Npas2-1269	0	burg	1	24.7950310559	3.2138260066	6.4709546485	6.7266666667	0.646549101	0.5680044567	0.4443583332	0.009278567	0.0018104564	0.0271122484
1270	chr9	66047511	66047890	66047665	8	intron (uc009qen.2, intron 2 of 11)	intron (NM_010019, intron 2 of 11)	41667	uc009qen.2	Dapk2	death-associated protein kinase 2	12.5	3.84	7.69	5.77	1.92	1.92	4.81	Npas2-1270	0	default	1	24	1.8964185713	3.4398095078	5.6066666667	0.1555600872	-0.0320932268	0.6601260002	0.4672608397	0.0336606469	0.5040805247
1271	chr9	70787731	70788110	70787840	8	Intergenic	Intergenic	-5305	uc009qos.1	Lipc	hepatic triacylglycerol lipase precursor	6.73	6.73	8.65	4.81	2.88	1.92	0	Npas2-1271	0	burg	1	24.490797546	2.5720009306	5.8724651985	5.2866666667	0.7314639104	0.6717892238	0.4424783214	0.0026947096	0.0008850937	0.0132546029
1272	chr9	70981021	70981520	70981175	8	intron (uc009qov.1, intron 2 of 5)	intron (NM_022026, intron 2 of 5)	29826	uc009qov.1	Aqp9	aquaporin-9	11.53	1.92	8.65	8.65	2.88	0.96	3.84	Npas2-1272	0	mle	1	26.972972973	1.7674504984	4.9812858243	5.765	0.1067187691	-0.0917881711	0.6941201741	0.6017927346	0.0419999948	0.628965315
1273	chr9	72569241	72569490	72569375	8	exon (uc009qqe.1, exon 12 of 29)	exon (NM_010890, exon 12 of 29)	59211	uc009qqe.1	Nedd4	E3 ubiquitin-protein ligase NEDD4	2.88	7.69	8.65	2.88	5.77	0.96	1.92	Npas2-1273	0	mle	1	24.1939393939	2.7573808747	7.501454034	4.805	0.508964996	0.3998461062	0.5777108751	0.040738594	0.004933028	0.073873902
1274	chr9	74376351	74376561	74376465	8	Intergenic	Intergenic	-319814	uc009qrf.1	Onecut1	Mus musculus adult male liver tumor cDNA, RIKEN full-length enriched library, clone:C730029H04 product:one cut domain, family member 1, full insert sequence.	1.92	0.96	7.69	2.88	2.88	0	3.84	Npas2-1274	1	burg	1	23.3450292398	2.4877131131	9.7914057582	2.7216666667	0.5366340179	0.4336637997	0.8985961898	0.0313804135	0.0040807572	0.0611108349
1275	chr9	78354151	78354530	78354295	8	Intergenic	Intergenic	-24809	uc009qun.1	Eef1a1	elongation factor 1-alpha 1	4.81	2.88	9.61	2.88	1.92	1.92	5.77	Npas2-1275	0	burg	1	23.2093023256	2.3178183693	7.5264159402	4.0033333333	0.3903611918	0.2548859011	0.6709576013	0.1078516328	0.0099555278	0.1490876776
1276	chr9	106165981	106166230	106166095	8	Intergenic	Intergenic	-15820	uc012gzt.1	Alas1	5-aminolevulinate synthase, nonspecific,	0.96	1.92	9.61	1.92	2.88	0	0.96	Npas2-1276	1	burg	1	23.2093023256	3.1671184993	9.1506439464	2.8816666667	0.5264077454	0.4211650222	1.0892721422	0.0346194895	0.0043839928	0.0656518994
1277	chr9	115182281	115182670	115182430	8	intron (uc009ryp.1, intron 3 of 15)	intron (NM_024222, intron 3 of 15)	8713	uc012hce.1	Stmn1-rs1	Mus musculus stathmin 1, related sequence 1 (Stmn1-rs1), non-coding RNA.	9.61	0.96	1.92	1.92	0.96	0	0.96	Npas2-1277	1	burg	1	27.5310344828	2.2305253375	25.1199612893	2.5616666667	0.2656536988	0.1024656319	1.256841415	0.24920348	0.0196642391	0.2944791874
1278	chr9	119069941	119070310	119070040	8	Intergenic	Intergenic	-3914	uc009saj.1	Acaa1b	3-ketoacyl-CoA thiolase B, peroxisomal	4.81	6.73	9.61	5.77	2.88	2.88	5.77	Npas2-1278	0	burg	1	23.2093023256	2.9273154206	7.696030473	5.4466666667	0.8461048023	0.8119058695	0.4283904528	0.0002200457	0.0002341488	0.0035064639
