ID	Chr	Start	End	Summit	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Bmal1_CT0/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_CT4/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_CT8/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_CT12/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_CT16/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_CT20/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_KO/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	Bmal1_Input/ Tag Count in given bp (7765770.0 Total, normalization factor = 1.29, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
3577	chr1	155548551	155549010	155548705	11	Intergenic	Intergenic	-38703	uc007dae.2	Rgs16	regulator of G-protein signaling 16	2.58	2.58	18.03	6.44	2.58	2.58	0	0	3577-Bmal1_n3R1	1	burg	1	23.0751445087	5.8169357419	9.2224515513	5.7983333333	0.5488118531	0.4485478205	0.9742171746	0.0278361756	0.0005103096	0.0361590828
3578	chr4	134024151	134024380	134024265	10	promoter-TSS (uc008vfc.2)	promoter-TSS (NM_019641)	30	uc008vfc.2	Stmn1	stathmin	6.44	12.88	7.73	2.58	2.58	2.58	0	0	3578-Bmal1_n3R1	0	burg	1	23.3450292398	4.2788679863	4.7837669479	5.7983333333	0.711982724	0.6479788849	0.6505248249	0.003693035	0.0001095779	0.0077643745
3579	chrX	100522301	100522520	100522410	14	intron (uc009tzk.1, intron 1 of 2)	intron (NM_007674, intron 1 of 2)	5673	uc009tzk.1	Cdx4	homeobox protein CDX-4	5.15	18.03	6.44	2.58	1.29	1.29	0	0	3579-Bmal1_n3R1	1	default	1	24	5.8876698546	4.4844869894	5.7966666667	0.5694362749	0.473755447	0.9996166747	0.0225511384	0.000429059	0.0304018971
3580	chr13	59021671	59021940	59021825	12	intron (uc007quj.1, intron 12 of 17)	intron (NM_001025074, intron 12 of 17)	112611	uc007quj.1	Ntrk2	BDNF/NT-3 growth factors receptor isoform a	5.15	18.03	7.73	2.58	0	1.29	0	1.29	3580-Bmal1_n3R1	0	burg	1	23.4823529412	6.65226618	4.9881812498	5.7966666667	0.6589403423	0.5831493073	1.0400225312	0.007901992	0.0001865563	0.0132188466
3581	chr16	23517361	23517580	23517470	12	intron (uc007ytr.1, intron 1 of 15)	intron (NM_008555, intron 1 of 15)	-2922	uc007ytv.1	AK144897	Mus musculus lung RCB-0558 LLC cDNA, RIKEN full-length enriched library, clone:G730049K06 product:unclassifiable, full insert sequence.	7.73	15.45	6.44	2.58	0	2.58	0	0	3581-Bmal1_n3R1	0	burg	1	23.6213017751	5.6820657981	4.0291928509	5.7966666667	0.7228628999	0.6612768776	0.8672493068	0.0031054605	9.79456094885E-005	0.006940146
3582	chr17	48110411	48110720	48110525	11	Intergenic	Intergenic	-37364	uc008cwp.1	DQ716672	DQ716672	6.44	15.45	7.73	2.58	1.29	1.29	0	2.58	3582-Bmal1_n3R1	0	burg	1	23.7619047619	5.509190389	4.6787253567	5.7966666667	0.6950784198	0.6273180687	0.8576788981	0.0047736077	0.0001296002	0.0091831006
3583	chr3	95669001	95669191	95669115	10	intron (uc008qli.1, intron 1 of 1)	intron (NM_078479, intron 1 of 1)	5442	uc008qli.1	Mrps21	28S ribosomal protein S21, mitochondrial	3.86	2.58	11.59	12.88	2.58	1.29	0	1.29	3583-Bmal1_n3R1	1	burg	1	23.2093023256	5.5058024922	10.4026906846	5.7966666667	0.7364953099	0.6779387121	0.7983297054	0.0024748425	8.59036254337E-005	0.0060868855
3584	chr4	153528351	153528630	153528440	10	intron (uc008wbi.1, intron 8 of 11)	intron (NM_021499, intron 8 of 11)	6303	uc008wbm.1	Tprgl	tumor protein p63-regulated gene 1-like protein	7.73	15.45	7.73	2.58	1.29	0	0	0	3584-Bmal1_n3R1	0	burg	1	23.7619047619	5.7433238641	4.6582235634	5.7966666667	0.7041900617	0.6384545199	0.9044481529	0.0041644478	0.0001184604	0.0083937668
3585	chr7	151194901	151195420	151195125	10	Intergenic	MTD|LTR|MaLR	-161025	uc009kqd.1	AK215526	Mus musculus cDNA, clone:Y0G0123C02, strand:unspecified.	2.58	6.44	18.03	5.15	1.29	1.29	1.29	3.86	3585-Bmal1_n3R1	0	burg	1	22.6818181818	6.6565656769	8.4075267914	5.7966666667	0.684467199	0.6143487988	0.9996166747	0.0055680139	0.0001444897	0.0102381274
3586	chr13	47265521	47265750	47265635	10	intron (uc007qhx.2, intron 1 of 7)	intron (NM_146042, intron 1 of 7)	-21596	uc007qhy.1	AK044426	Mus musculus adult retina cDNA, RIKEN full-length enriched library, clone:A930002C04 product:unclassifiable, full insert sequence.	7.73	7.73	12.88	3.86	2.58	0	2.58	0	3586-Bmal1_n3R1	1	burg	1	24.3414634146	4.451906213	6.1778702086	5.7966666667	0.6537271767	0.5767776604	0.7228687825	0.008460243	0.0001964236	0.0139180116
3587	chr14	21810791	21811050	21810935	10	intron (uc007skz.1, intron 6 of 20)	RSINE1|SINE|B4	60744	uc007sla.2	Ap3m1	AP-3 complex subunit mu-1	14.16	6.44	7.73	2.58	2.58	1.29	1.29	1.29	3587-Bmal1_n3R1	0	default	1	24	3.4874141729	2.3213054651	5.7966666667	0.3960935597	0.2618921285	0.7555887275	0.1033626119	0.0016019298	0.1135081672
3588	chr15	98557961	98558240	98558060	10	intron (uc007xnm.1, intron 2 of 5)	intron (NM_024169, intron 2 of 5)	529	uc007xnm.1	Fkbp11	peptidyl-prolyl cis-trans isomerase FKBP11	7.73	14.16	7.73	1.29	2.58	1.29	1.29	3.86	3588-Bmal1_n3R1	1	yule-walker	1	23.4823529412	5.05690917	4.3660141352	5.7966666667	0.6820360757	0.6113774259	0.7980096655	0.0057636861	0.0001480675	0.0104916366
3589	chr19	55266891	55267151	55267110	10	intron (uc008hxm.1, intron 7 of 9)	intron (NM_009348, intron 7 of 9)	11646	uc008hxm.1	Tectb	beta-tectorin precursor	9.01	12.88	6.44	2.58	2.58	1.29	1.29	1.29	3589-Bmal1_n3R1	1	yule-walker	1	24.1939393939	4.3365479593	3.5317184099	5.7966666667	0.6854140561	0.6155060686	0.7109993786	0.005493219	0.000143258	0.010150852
3590	chr1	121970281	121970510	121970395	9	promoter-TSS (uc007cjd.1)	promoter-TSS (NM_019432)	-38	uc007cjd.1	Tmem37	voltage-dependent calcium channel gamma-like	6.44	11.59	6.44	7.73	0	2.58	0	1.29	3590-Bmal1_n3R1	0	default	1	24	3.8519427438	5.5135364522	5.7966666667	0.6153540522	0.5298771749	0.6380512296	0.0135761062	0.0002827654	0.0200359495
3591	chr2	58387661	58387970	58387775	9	intron (uc008jsu.1, intron 2 of 10)	intron (NM_007394, intron 2 of 11)	31424	uc008jsu.1	Acvr1	activin receptor type-1	12.88	6.44	10.3	2.58	1.29	1.29	0	0	3591-Bmal1_n3R1	0	default	1	24	3.8186554901	3.6269124593	5.7966666667	0.4426609467	0.3188078237	0.7773762168	0.072034018	0.001160502	0.0822298571
3592	chr2	75541461	75541721	75541590	9	intron (uc008keq.1, intron 1 of 4)	intron (NM_010902, intron 1 of 4)	1107	uc008keq.1	Nfe2l2	nuclear factor erythroid 2-related factor 2	7.73	16.74	7.73	2.58	0	0	1.29	0	3592-Bmal1_n3R1	1	burg	1	23.3450292398	6.5651529508	4.8837805514	5.7966666667	0.7198847061	0.657636863	1.0078401482	0.0032584848	0.0001011474	0.007167018
3593	chr2	128769241	128769421	128769340	9	intron (uc008mgz.1, intron 1 of 8)	CpG	425	uc008mgz.1	Zc3h8	zinc finger CCCH domain-containing protein 8	7.73	11.59	6.44	7.73	0	1.29	0	0	3593-Bmal1_n3R1	1	burg	1	24.7950310559	4.0428621959	4.9136803811	5.7966666667	0.6275470581	0.5447797377	0.6877604762	0.0117441433	0.0002529508	0.0179233694
3594	chr11	69495471	69495740	69495570	9	promoter-TSS (uc007jrc.2)	promoter-TSS (NM_030702)	-19	uc007jrc.2	Senp3	sentrin-specific protease 3	2.58	7.73	12.88	10.3	1.29	0	0	0	3594-Bmal1_n3R1	0	mle	1	23.9041916168	6.4512183809	8.5151820934	5.7966666667	0.9333423891	0.9185295867	0.8286900213	5.09710813335E-006	2.00645514478E-005	0.0014217168
3595	chr13	101347171	101347510	101347245	9	Intergenic	B3|SINE|B2	-24887	uc007rqy.1	Ocln	occludin	2.58	12.88	11.59	3.86	1.29	2.58	1.29	0	3595-Bmal1_n3R1	1	mle	1	22.6818181818	5.6657089671	6.8595474671	5.7966666667	0.7620451729	0.7091663224	0.7983297054	0.0015639589	6.81392882961E-005	0.0048281553
3596	chr15	7104031	7104260	7104145	9	intron (uc007vdy.2, intron 1 of 19)	intron (NM_013584, intron 1 of 19)	13603	uc007vdy.2	Lifr	leukemia inhibitory factor receptor isoform 1	1.29	11.59	7.73	6.44	2.58	5.15	1.29	0	3596-Bmal1_n3R1	0	burg	1	22.5536723164	3.4863299824	7.3841354309	5.7966666667	0.5206410229	0.4141168058	0.5841269302	0.0365572814	0.0006426981	0.0455397528
3597	chr4	116808541	116808721	116808605	8	Intergenic	Intergenic	-2074	uc008uib.1	Plk3	serine/threonine-protein kinase PLK3	10.3	6.44	6.44	6.44	2.58	2.58	0	2.58	3597-Bmal1_n3R1	0	default	1	24	1.8715151515	4	5.7966666667	0.3144963145	0.1621621622	0.4575959665	0.1828285745	0.0027028512	0.1915163104
3598	chr5	114595961	114596230	114596105	8	Intergenic	Intergenic	15651	uc008yzf.1	Ung	uracil-DNA glycosylase isoform a	5.15	7.73	5.15	12.88	1.29	2.58	1.29	0	3598-Bmal1_n3R1	0	mle	1	24.1939393939	3.1310376413	8.7092472601	5.7966666667	0.3501554427	0.2057455411	0.650859155	0.1437615301	0.0021614406	0.1531535041
3599	chr5	147408821	147409070	147408925	8	Intergenic	B4|SINE|B4	-12130	uc009ani.1	Gpr12	G-protein coupled receptor 12	2.58	12.88	3.86	11.59	1.29	2.58	0	0	3599-Bmal1_n3R1	0	burg	1	24.1939393939	3.6993229545	7.4779845011	5.7966666667	0.3250015945	0.1750019489	0.7983297054	0.1705541774	0.0025302986	0.1792897322
3600	chr8	4677641	4677890	4677725	8	Intergenic	CpG	64595	uc009ktz.1	Zfp958	zinc finger-like protein	7.73	9.01	11.59	1.29	2.58	2.58	0	0	3600-Bmal1_n3R1	0	burg	1	24.0481927711	4.0060631397	4.6776399168	5.7966666667	0.619266439	0.534658981	0.6630347015	0.0129656778	0.0002733727	0.0193704101
3601	chr12	81331131	81331320	81331225	8	intron (uc007oap.2, intron 1 of 20)	intron (NM_134156, intron 1 of 20)	30133	uc007oap.2	Actn1	alpha-actinin-1	6.44	7.73	10.3	5.15	2.58	2.58	1.29	2.58	3601-Bmal1_n3R1	0	burg	1	23.7619047619	3.2553506776	6.4613186831	5.7966666667	0.7917976662	0.7455304809	0.4752918436	0.0008574033	5.32264140342E-005	0.0037714716
3602	chr19	32276751	32277060	32276850	8	intron (uc008hfc.2, intron 1 of 5)	intron (NM_144792, intron 5 of 9)	8598	uc008hfc.2	Sgms1	phosphatidylcholine:ceramide	6.44	11.59	7.73	6.44	1.29	1.29	1.29	1.29	3602-Bmal1_n3R1	1	default	1	24	4.1374983769	5.7800116146	5.7966666667	0.7663984122	0.7144869483	0.6249808826	0.001439266	6.56484837901E-005	0.004651664
3603	chr19	55270171	55270400	55270285	8	3' UTR (uc008hxm.1, exon 10 of 10)	3' UTR (NM_009348, exon 10 of 10)	14910	uc008hxm.1	Tectb	beta-tectorin precursor	7.73	5.15	10.3	6.44	2.58	2.58	0	0	3603-Bmal1_n3R1	1	default	1	24	2.6110692339	7.0204876897	5.7966666667	0.5028547873	0.3923780733	0.4752918436	0.0430699808	0.0007413685	0.0525312552
3604	chr2	36069681	36069970	36069860	7	Intergenic	Intergenic	11993	uc008jlk.1	AK142949	Mus musculus 0 day neonate lung cDNA, RIKEN full-length enriched library, clone:E030015P16 product:hypothetical Cysteine-rich region profile/Zn-finger, C2H2 type containing protein, full insert sequence.	6.44	5.15	11.59	7.73	1.29	2.58	0	2.58	3604-Bmal1_n3R1	1	default	1	24	3.6329491156	7.6619345313	5.7966666667	0.613212508	0.527259732	0.5841269302	0.0139195725	0.0002884885	0.0204414743
3605	chr3	52341341	52341560	52341450	7	intron (uc008pej.1, intron 1 of 4)	Intergenic	20564	uc008pej.1	AK040671	Mus musculus adult male aorta and vein cDNA, RIKEN full-length enriched library, clone:A530012F11 product:unclassifiable, full insert sequence.	7.73	6.44	9.01	6.44	2.58	2.58	1.29	2.58	3605-Bmal1_n3R1	0	mle	1	25.106918239	2.493068755	5.7139462338	5.7966666667	0.6296446194	0.5473434237	0.4201255807	0.0114494326	0.0002479382	0.0175681935
3606	chr4	133556751	133557240	133556935	7	promoter-TSS (uc008vds.1)	promoter-TSS (NM_026144)	-216	uc008vds.1	Dhdds	dehydrodolichyl diphosphate synthase	10.3	2.58	12.88	3.86	2.58	2.58	1.29	1.29	3606-Bmal1_n3R1	0	burg	1	25.9220779221	2.3747327097	4.3814991311	5.7966666667	0.1823797207	0.0006863253	0.7225153178	0.4040940408	0.0057717904	0.408972578
3607	chr5	9040701	9040960	9040805	7	Intergenic	Intergenic	-43684	uc008wkt.1	Crot	peroxisomal carnitine O-octanoyltransferase	10.3	6.44	7.73	6.44	2.58	1.29	0	1.29	3607-Bmal1_n3R1	0	default	1	24	2.3162694913	5.2504204425	5.7966666667	0.367701911	0.2271912246	0.5246895935	0.1271008373	0.0019316936	0.1368742869
3608	chr5	138612151	138612490	138612380	7	promoter-TSS (uc009aev.2)	promoter-TSS (NM_021392)	770	uc009aeu.1	Mcm7	DNA replication licensing factor MCM7	9.01	7.73	12.88	2.58	0	2.58	0	0	3608-Bmal1_n3R1	1	burg	1	23.3450292398	4.6725382926	5.3945903708	5.7966666667	0.6146780531	0.5290509538	0.7667682084	0.0136838044	0.0002847262	0.0201748832
3609	chr8	127377441	127377850	127377555	7	intron (uc009nxs.2, intron 2 of 6)	MurERV4-int|LTR|ERVK	9284	uc009nxs.2	2810004N23Rik	hypothetical protein LOC66523	11.59	6.44	6.44	5.15	2.58	2.58	2.58	3.86	3609-Bmal1_n3R1	0	default	1	24	2.3162694913	2.7495795575	5.7966666667	0.367701911	0.2271912246	0.5246895935	0.1271008373	0.0019316936	0.1368742869
3610	chr8	129117941	129118290	129118095	7	promoter-TSS (uc009nyw.2)	promoter-TSS (NM_001164598)	-779	uc009nyw.2	Irf2bp2	interferon regulatory factor 2 binding protein	7.73	7.73	11.59	2.58	3.86	1.29	0	1.29	3610-Bmal1_n3R1	1	default	1	24	3.4617484095	5.6955462628	5.7966666667	0.5472771841	0.4466721139	0.6117358962	0.0282647872	0.0005167012	0.0366119724
3611	chr11	94023551	94023870	94023765	7	Intergenic	Intergenic	-49058	uc007kyf.1	Tob1	protein Tob1	12.88	6.44	11.59	1.29	1.29	1.29	0	3.86	3611-Bmal1_n3R1	0	burg	1	26.7919463087	4.1461900396	1.428821666	5.7966666667	0.4691842878	0.3512252406	0.8483016659	0.0578424877	0.0009541966	0.0676116431
3612	chr14	46326881	46327290	46327045	7	Intergenic	MER21B|LTR|ERV1	-49267	uc007tgx.1	Ddhd1	phospholipase DDHD1 isoform 3	11.59	7.73	11.59	0	2.58	1.29	1.29	0	3612-Bmal1_n3R1	1	mle	1	26.2631578947	4.1342357974	1.8951153631	5.7966666667	0.491373351	0.3783452068	0.8186689706	0.0477305016	0.0008076878	0.0572304484
3613	chr15	78854311	78854730	78854420	7	intron (uc007wsb.1, intron 1 of 2)	L2a|LINE|L2	1652	uc007wsb.1	AK131895	Mus musculus adult male liver tumor cDNA, RIKEN full-length enriched library, clone:C730033F21 product:unclassifiable, full insert sequence.	6.44	7.73	11.59	7.73	0	1.29	2.58	2.58	3613-Bmal1_n3R1	1	burg	1	23.4823529412	4.7357354473	7.2911904466	5.7966666667	0.7851078776	0.7373540726	0.6877604762	0.0009885354	5.59925651163E-005	0.0039674732
3614	chr16	4828541	4828860	4828755	7	Intergenic	PB1D10|SINE|Alu	-6716	uc012aav.1	4930562C15Rik	hypothetical protein LOC78809	2.58	3.86	11.59	7.73	6.44	2.58	1.29	3.86	3614-Bmal1_n3R1	1	mle	1	23.9041916168	4.0820851191	10.1981972814	5.7966666667	0.8087642128	0.7662673712	0.5552618352	0.0005848726	4.66122353853E-005	0.0033028098
3615	chr18	61694141	61694440	61694250	7	intron (uc008fca.2, intron 1 of 12)	intron (NM_177828, intron 1 of 12)	1900	uc008fca.2	Arhgef37	rho guanine nucleotide exchange factor 37	6.44	7.73	11.59	6.44	2.58	0	0	0	3615-Bmal1_n3R1	1	default	1	24	4.4341134622	7.2657173353	5.7966666667	0.8154988487	0.7744985929	0.6380512296	0.0004977323	0.00004456	0.0031573966
3616	chr4	131424031	131424311	131424195	16	TTS (uc008vae.2)	TTS (NM_025297)	-5383	uc008vaf.2	Srsf4	serine/arginine-rich splicing factor 4	2.58	6.44	24.47	1.29	0	0	0	2.58	3616-Bmal1_n3R1	0	burg	1	22.6818181818	8.9341460385	7.9263600133	5.7966666667	0.5489961447	0.4487730658	1.4889624488	0.0277850476	0.0005095948	0.0361084286
3617	chr4	88192681	88192941	88192835	10	Intergenic	Intergenic	11338	uc008tna.1	Gm12597	alpha-interferon precursor	2.58	7.73	15.45	6.44	2.58	0	0	1.29	3617-Bmal1_n3R1	0	mle	1	24.0481927711	6.3920849053	8.0259867362	5.7966666667	0.8341851374	0.7973373901	0.8672493068	0.0003078262	4.09136058606E-005	0.0028990212
3618	chr5	105724821	105725080	105724925	9	Intergenic	B4A|SINE|B4	-2232	uc012eag.1	Mpa2l	macrophage activation 2 like	12.88	11.59	5.15	2.58	1.29	1.29	3.86	1.29	3618-Bmal1_n3R1	1	burg	1	27.156462585	4.8213207401	27.1480017372	5.7966666667	0.7052156936	0.63970807	0.8186689706	0.0040998656	0.0001174825	0.0083244771
3619	chr5	135662821	135663210	135662935	9	promoter-TSS (uc008zxz.2)	promoter-TSS (NM_011714)	-178	uc008zxz.2	Baz1b	tyrosine-protein kinase BAZ1B	3.86	7.73	12.88	5.15	2.58	2.58	1.29	1.29	3619-Bmal1_n3R1	0	burg	1	22.8114285714	4.409588316	7.8880448998	5.7966666667	0.7717576625	0.721037143	0.6250832542	0.0012965311	6.2376065275E-005	0.0044197898
3620	chr11	12382001	12382380	12382110	9	Intergenic	ERVL-int|LTR|ERVL	-17227	uc007ibd.2	Cobl	protein cordon-bleu	1.29	11.59	12.88	7.73	0	1.29	0	3.86	3620-Bmal1_n3R1	1	yule-walker	1	23.7619047619	6.6814912474	7.5262994619	5.7966666667	0.8597596859	0.8285951716	0.8955607659	0.0001448531	0.000035723	0.0025312284
3621	chr2	38468061	38468380	38468270	8	intron (uc008jnp.1, intron 6 of 7)	intron (NM_011187, intron 6 of 7)	31206	uc008jnp.1	Psmb7	proteasome subunit beta type-7 precursor	3.86	10.3	12.88	2.58	2.58	2.58	0	2.58	3621-Bmal1_n3R1	0	burg	1	22.8114285714	4.9011327807	6.825946613	5.7966666667	0.701996836	0.6357739106	0.7225153178	0.004305206	0.0001207579	0.0085565566
3622	chr13	32913631	32913910	32913745	8	exon (uc007pzt.2, exon 7 of 7)	exon (NM_030215, exon 7 of 7)	19871	uc007pzt.2	Wrnip1	ATPase WRNIP1	11.59	7.73	9.01	1.29	2.58	2.58	0	0	3622-Bmal1_n3R1	1	burg	1	26.972972973	3.6290195675	0.4046333751	5.7966666667	0.58934485	0.49808815	0.6630347015	0.0182241689	0.0003595753	0.0254784819
3623	chr13	101314431	101314730	101314580	8	intron (uc007rqy.1, intron 1 of 8)	intron (NM_008756, intron 1 of 8)	7873	uc007rqy.1	Ocln	occludin	9.01	6.44	12.88	1.29	2.58	2.58	0	0	3623-Bmal1_n3R1	1	yule-walker	1	23.3450292398	3.6525193023	5.2595330229	5.7966666667	0.4256028331	0.2979590182	0.7109993786	0.082500257	0.0013052017	0.0924828646
3624	chr9	60879461	60879870	60879620	7	Intergenic	Intergenic	73528	uc009pzm.1	AK018968	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4933433G08 product:unclassifiable, full insert sequence.	11.59	3.86	12.88	2.58	2.58	1.29	2.58	0	3624-Bmal1_n3R1	0	burg	1	27.156462585	3.0529753647	2.4806373837	5.7966666667	0.2698474308	0.1075913043	0.7983297054	0.2428629576	0.0035313291	0.2502198933
3625	chr3	62156111	62156340	62156225	13	intron (uc008pjm.1, intron 3 of 13)	Lx8|LINE|L1	13526	uc008pjm.1	Arhgef26	Rho guanine nucleotide exchange factor (GEF) 26	16.74	5.15	7.73	5.15	0	0	2.58	1.29	3625-Bmal1_n3R1	0	default	1	24	3.6863141405	2.8270410323	5.795	0.2624219175	0.098515677	0.9749742301	0.2541768617	0.0036869032	0.2612434262
3626	chr7	52281131	52281390	52281240	11	Intergenic	Intergenic	7883	uc009gss.1	Rras	ras-related protein R-Ras precursor	2.58	15.45	11.59	5.15	0	0	0	1.29	3626-Bmal1_n3R1	1	mle	1	23.0751445087	7.1680950032	6.8264540848	5.795	0.7974068538	0.7523861546	1.0079715169	0.0007582482	5.11675191963E-005	0.0036255842
3627	chr10	62113981	62114320	62114130	11	promoter-TSS (uc007fhp.1)	promoter-TSS (NM_053183)	-204	uc007fhp.1	Ddx50	ATP-dependent RNA helicase DDX50	5.15	16.74	7.73	3.86	0	1.29	0	1.29	3627-Bmal1_n3R1	0	burg	1	23.4823529412	6.1440560684	5.2692174096	5.795	0.6797325598	0.6085620176	0.9492889438	0.0059539824	0.00015151	0.010735566
3628	chr15	38008791	38008991	38008905	11	promoter-TSS (uc007vno.1)	promoter-TSS (NM_001081359)	-283	uc007vno.1	Ubr5	E3 ubiquitin-protein ligase UBR5 isoform 1	12.88	5.15	15.45	1.29	0	0	0	0	3628-Bmal1_n3R1	0	burg	1	25.9220779221	4.9030323876	3.4190916195	5.795	0.3863841407	0.2500250608	1.0713975034	0.1110540984	0.0017094639	0.1211277248
3629	chr7	148632991	148633250	148633150	10	promoter-TSS (uc009klf.1)	promoter-TSS (NM_026020)	-429	uc009klf.1	Rplp2	60S acidic ribosomal protein P2	5.15	15.45	10.3	2.58	1.29	0	0	1.29	3629-Bmal1_n3R1	0	mle	1	23.2093023256	6.3496910694	5.8583194651	5.795	0.742241937	0.6849623674	0.9402768463	0.0022410687	8.14581436042E-005	0.0057718913
3630	chr11	75003421	75003640	75003475	10	intron (uc007kdg.1, intron 1 of 12)	intron (NM_144491, intron 1 of 12)	455	uc007kdg.1	Dph1	diphthamide biosynthesis protein 1	9.01	12.88	7.73	1.29	0	3.86	0	1.29	3630-Bmal1_n3R1	0	mle	1	22.8114285714	5.5318828082	4.1723955215	5.795	0.8333672274	0.7963377223	0.7778053336	0.0003147182	0.000041248	0.0029227174
3631	chr12	25346021	25346360	25346130	10	3' UTR (uc007neo.2, exon 4 of 4)	3' UTR (NM_178357, exon 4 of 4)	9954	uc007neo.2	Klf11	Krueppel-like factor 11	6.44	7.73	14.16	3.86	2.58	0	0	1.29	3631-Bmal1_n3R1	0	burg	1	23.4823529412	4.9932401516	7.0882511698	5.795	0.6771227768	0.6053722827	0.7774766561	0.0061754462	0.0001551882	0.0109961904
3632	chr12	113867741	113867970	113867855	10	intron (uc007peu.2, intron 2 of 12)	intron (NM_007421, intron 2 of 12)	9597	uc007peu.2	Adssl1	adenylosuccinate synthetase isozyme 1	7.73	9.01	12.88	3.86	0	1.29	0	0	3632-Bmal1_n3R1	1	burg	1	23.4823529412	5.1934855885	6.0319183944	5.795	0.7533426001	0.6985298445	0.7778053336	0.0018383308	7.35332333167E-005	0.0052103548
3633	chr15	25872091	25872371	25872235	10	intron (uc007vjf.1, intron 3 of 8)	intron (NM_025459, intron 2 of 7)	-41890	uc007vjk.1	Zfp622	zinc finger protein 622	15.45	7.73	6.44	5.15	0	0	0	2.58	3633-Bmal1_n3R1	0	default	1	24	4.0982605678	2.9482061018	5.795	0.39128392	0.25601368	0.9048141898	0.1071189938	0.0016555649	0.1173086019
3634	chr16	21329411	21329580	21329495	10	Intergenic	Intergenic	-32550	uc007yri.1	AK043964	Mus musculus 10 days neonate cortex cDNA, RIKEN full-length enriched library, clone:A830060N17 product:unclassifiable, full insert sequence.	12.88	12.88	9.01	0	0	0	0	0	3634-Bmal1_n3R1	1	mle	1	24.1939393939	6.4532766102	3.1830614764	5.795	0.7523418817	0.6973067443	1.0244770838	0.0018721324	7.41788309754E-005	0.0052561
3635	chr1	134212481	134212770	134212650	9	promoter-TSS (uc007coo.2)	promoter-TSS (NM_001195025)	-77	uc007coo.2	Nuak2	NUAK family SNF1-like kinase 2 isoform B	1.29	6.44	15.45	6.44	5.15	0	0	2.58	3635-Bmal1_n3R1	1	mle	1	23.9041916168	6.225472932	8.8751220554	5.795	0.7938393497	0.7480258719	0.8580372588	0.0008202118	5.2795239443E-005	0.0037409198
3636	chr3	82807121	82807331	82807265	9	Intergenic	Intergenic	-4592	uc008ppe.1	Fgg	fibrinogen gamma chain precursor	10.3	6.44	12.88	0	5.15	0	0	0	3636-Bmal1_n3R1	0	default	1	24	3.4208485058	4.8383374706	5.795	0.2872848288	0.1289036796	0.8290439512	0.217832169	0.0031827974	0.2255239293
3637	chr3	116032471	116032691	116032580	9	intron (uc008rca.1, intron 8 of 15)	intron (NM_001173553, intron 6 of 13)	-76179	uc008rbz.2	Gpr88	probable G-protein coupled receptor 88	3.86	10.3	11.59	7.73	1.29	0	0	1.29	3637-Bmal1_n3R1	1	default	1	24	5.7264018743	7.4134559668	5.795	0.9242756939	0.9074480703	0.7562708555	9.04813062808E-006	2.44092185938E-005	0.0017295675
3638	chr5	99852791	99853190	99852900	9	intron (uc008ygn.2, intron 2 of 3)	intron (NR_030692, intron 2 of 3)	-171044	uc008ygl.1	Rasgef1b	ras-GEF domain-containing family member 1B	9.01	12.88	11.59	0	0	1.29	0	0	3638-Bmal1_n3R1	0	burg	1	23.6213017751	6.3648290732	4.498585394	5.795	0.7742991282	0.724143379	0.9492889438	0.0012328197	6.09292758534E-005	0.0043172744
3639	chr8	86607931	86608210	86608040	9	exon (uc009mlv.2, exon 7 of 21)	exon (NM_009055, exon 7 of 21)	-1928	uc012ggz.1	Mir709	Mus musculus microRNA 709 (Mir709), microRNA.	6.44	7.73	14.16	3.86	0	2.58	1.29	0	3639-Bmal1_n3R1	1	yule-walker	1	22.1777777778	5.097141617	7.1982116213	5.795	0.6656646439	0.5913678981	0.7774766561	0.0072247093	0.000174925	0.0123946888
3640	chr12	78063151	78063371	78063260	9	promoter-TSS (uc007nyw.2)	promoter-TSS (NM_001146176)	-26	uc007nyw.2	Max	protein max isoform 1	6.44	10.3	11.59	3.86	2.58	0	0	0	3640-Bmal1_n3R1	1	default	1	24	4.8154705345	6.1794831109	5.795	0.7901823382	0.7435561911	0.7113385911	0.000887747	5.37443163365E-005	0.0038081687
3641	chr13	81508091	81508410	81508195	9	intron (uc007rhn.1, intron 83 of 89)	intron (NM_054053, intron 83 of 89)	263893	uc007rhn.1	Gpr98	G-protein coupled receptor 98 precursor	10.3	9.01	12.88	1.29	0	1.29	0	1.29	3641-Bmal1_n3R1	0	mle	1	24.1939393939	5.2901041482	4.3970459508	5.795	0.6492324478	0.5712841028	0.87707666	0.0089657651	0.0002055071	0.0145616447
