ID	Chr	Start	End	SummitPosition	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Clock_CT0/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT4/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT8/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT12/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT16/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_CT20/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_KO/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	Clock_Input/ Tag Count in given bp (12647118.0 Total, normalization factor = 0.79, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
2249	chr7	124429571	124429930	124429775	8	Intergenic	Intergenic	-94743	uc009jjm.1	Xylt1	xylosyltransferase 1	3.16	7.91	7.12	3.95	3.95	1.58	0	1.58	2249-Clock_n3R15	1	mle	1	24.0481927711	2.5581331479	7.0167450956	4.6116666667	0.7137706151	0.6501640851	0.4795470014	0.0035909882	0.002435349	0.0190915382
2250	chr7	147908271	147908610	147908415	8	Intergenic	MTE2b|LTR|MaLR	18288	uc009kib.1	Olfr541	olfactory receptor 541	3.16	6.33	9.49	2.37	0.79	5.53	0	0	2250-Clock_n3R15	0	burg	1	21.6956521739	3.054084921	6.7658958469	4.6116666667	0.5302863725	0.4259055664	0.6217695272	0.0333617805	0.0097566688	0.0764858821
2251	chr9	106720451	106720840	106720625	8	Intergenic	Intergenic	-3662	uc009rkp.2	Vprbp	protein VPRBP	7.12	0.79	7.91	2.37	5.53	3.95	3.16	2.37	2251-Clock_n3R15	1	mle	1	22.0552486188	0.3833469805	17.8303705622	4.6116666667	0.0109219589	-0.2088731613	0.5462944842	0.951782072	0.1220162791	0.9565275712
2252	chr10	106477441	106477771	106477660	8	intron (uc011xna.1, intron 5 of 15)	intron (NM_198636, intron 5 of 10)	83114	uc011xna.1	Acss3	acyl-CoA synthetase short-chain family member 3,	7.12	2.37	11.86	3.16	1.58	1.58	0	1.58	2252-Clock_n3R15	0	burg	1	23.9041916168	2.7801441555	6.7970473327	4.6116666667	0.2929846944	0.135870182	0.8130079777	0.2101017502	0.0361609829	0.2834783801
2253	chr11	7094631	7094841	7094735	8	Intergenic	Intergenic	-3054	uc007hzh.2	Igfbp1	insulin-like growth factor-binding protein 1	7.91	1.58	4.74	2.37	7.12	3.95	0.79	3.95	2253-Clock_n3R15	1	mle	1	22.8114285714	1.6766881674	19.5641592982	4.6116666667	0.268348977	0.1057598608	0.4995286292	0.2451138936	0.040612044	0.318371779
2254	chr17	4974871	4975180	4974980	8	Intergenic	Intergenic	-20049	uc008aey.1	Arid1b	AT rich interactive domain 1B (Swi1 like)	7.12	3.95	7.91	1.58	3.16	3.95	0.79	1.58	2254-Clock_n3R15	1	default	1	24	1.5709787903	2.874807806	4.6116666667	0.2718299684	0.1100144058	0.4795470014	0.2399095884	0.039961646	0.3132730853
2255	chr4	45752531	45752860	45752740	7	Intergenic	Intergenic	56234	uc008ssw.1	Gm829	hypothetical protein LOC329839	5.53	3.95	7.12	7.12	0.79	3.16	0.79	0	2255-Clock_n3R15	0	burg	1	23.9041916168	1.9730476792	7.6794691104	4.6116666667	0.4035199072	0.2709687755	0.4895132983	0.0977646371	0.0206232639	0.161672858
2256	chr6	142293971	142294320	142294130	7	promoter-TSS (uc009epc.1)	promoter-TSS (NM_183165)	-72	uc009epc.1	Pyroxd1	pyridine nucleotide-disulfide oxidoreductase	6.33	7.12	3.16	3.16	2.37	5.53	0.79	3.95	2256-Clock_n3R15	0	mle	1	24.0481927711	2.165525679	0.7791814399	4.6116666667	0.7743935385	0.7242587693	0.3891832315	0.0012305008	0.0014185852	0.0111207775
2257	chr7	27952001	27952201	27952145	7	promoter-TSS (uc009fva.2)	promoter-TSS (NM_053208)	-280	uc009fva.2	Egln2	egl nine homolog 2	7.12	6.33	3.95	4.74	2.37	3.16	0.79	0	2257-Clock_n3R15	0	burg	1	27.9160839161	1.522541521	27.6595735128	4.6116666667	0.5580025919	0.4597809457	0.3631804824	0.0253739893	0.0082182005	0.0644253001
2258	chr7	28017801	28018050	28017910	7	promoter-TSS (uc009fvm.1)	promoter-TSS (NM_133770)	-107	uc009fvm.1	Adck4	aarF domain containing kinase 4	6.33	3.95	6.33	3.16	5.53	2.37	0.79	1.58	2258-Clock_n3R15	0	default	1	24	0.4662773322	5.9520691758	4.6116666667	0.04957434	-0.1616313622	0.3349816685	0.7954844395	0.1054776734	0.8268757537
2259	chr7	31892821	31893121	31892935	7	intron (uc009gid.2, intron 5 of 13)	intron (NM_008281, intron 4 of 12)	7338	uc009gid.2	Hpn	serine protease hepsin isoform 1	3.16	1.58	8.7	5.53	7.12	1.58	0.79	2.37	2259-Clock_n3R15	1	burg	1	23.0751445087	2.8683962019	11.8396133905	4.6116666667	0.5750252051	0.4805863618	0.5894661104	0.0212634768	0.0072686187	0.0569812015
2260	chr8	46414621	46415110	46414805	7	intron (uc009lou.1, intron 1 of 10)	intron (NM_133969, intron 1 of 10)	3685	uc009lou.1	Cyp4v3	cytochrome P450 4V3	1.58	3.95	8.7	7.12	3.95	2.37	0.79	4.74	2260-Clock_n3R15	0	mle	1	24.0481927711	3.4338535588	9.7943102241	4.6116666667	0.9267315453	0.9104496665	0.5464077994	7.80057547967E-006	0.0001535214	0.0012035071
2261	chr9	43071941	43072220	43072115	7	intron (uc009pbg.1, intron 6 of 7)	Intergenic	20398	uc009pbg.1	AK143856	Mus musculus 6 days neonate spleen cDNA, RIKEN full-length enriched library, clone:F430208H19 product:unclassifiable, full insert sequence.	7.91	3.95	3.16	3.95	2.37	6.33	0.79	1.58	2261-Clock_n3R15	0	yule-walker	1	24.7950310559	2.1727776422	22.9228637608	4.6116666667	0.6391281904	0.5589344549	0.4137039186	0.0101879853	0.0045040301	0.0353086404
2262	chr10	126844501	126844790	126844620	7	intron (uc007hjl.2, intron 2 of 25)	RSINE1|SINE|B4	17278	uc007hjl.2	R3hdm2	R3H domain-containing protein 2 isoform 1	7.12	3.16	5.53	3.95	1.58	6.33	0	0.79	2262-Clock_n3R15	0	burg	1	25.9220779221	1.4332836854	24.1382765803	4.6116666667	0.2725858051	0.1109382062	0.4135542437	0.2387910102	0.0398462973	0.3123688271
2263	chr17	56416251	56416530	56416365	7	promoter-TSS (uc008dbm.2)	promoter-TSS (NM_174989)	-200	uc008dbm.2	Ticam1	TIR domain-containing adapter molecule 1	4.74	6.33	3.16	7.12	2.37	3.95	0.79	4.74	2263-Clock_n3R15	1	burg	1	24.95	0.7783691754	5.8092604097	4.6116666667	0.1126096576	-0.0845881962	0.3631804824	0.5841389162	0.0814210871	0.6382879009
2264	chr18	23962331	23962700	23962445	7	intron (uc008ege.2, intron 2 of 7)	promoter-TSS (NM_153058)	50289	uc008ege.2	Mapre2	microtubule-associated protein RP/EB family	4.74	3.95	4.74	6.33	1.58	6.33	0	0	2264-Clock_n3R15	0	burg	1	21.1216931217	0.4287174118	7.2813806603	4.6116666667	0.0328969176	-0.1820148784	0.3492770829	0.8602554915	0.1122786296	0.8801907876
2265	chr19	43841961	43842340	43842225	7	intron (uc008hov.2, intron 8 of 8)	intron (NM_025530, intron 8 of 8)	14637	uc008hov.2	Cutc	copper homeostasis protein cutC homolog isoform	5.53	7.12	6.33	2.37	1.58	4.74	0	3.95	2265-Clock_n3R15	0	burg	1	22.1777777778	2.5054126097	4.7805037112	4.6116666667	0.7840630708	0.7360770866	0.4365668761	0.0010103484	0.0012632046	0.0099026956
2266	chr4	116714111	116714410	116714265	13	intron (uc012djo.1, intron 3 of 11)	intron (NM_001111277, intron 3 of 11)	22247	uc012djo.1	Eif2b3	eukaryotic translation initiation factor 2B,	2.37	0.79	11.86	6.33	3.16	3.16	0	0.79	2266-Clock_n3R15	1	burg	1	23.2093023256	3.6196349635	10.2666771761	4.6116666667	0.514311436	0.4063806441	0.7884992723	0.0387802362	0.0108210051	0.0848295805
2267	chr4	140872531	140872721	140872625	12	exon (uc008voc.1, exon 4 of 17)	exon (NM_010139, exon 4 of 17)	15471	uc008voc.1	Epha2	ephrin type-A receptor 2 precursor	6.33	3.95	9.49	2.37	3.16	2.37	0	0.79	2267-Clock_n3R15	1	default	1	24	1.9295912175	5.8808617229	4.6116666667	0.3073195989	0.1533906209	0.5552866338	0.1916011224	0.0337026501	0.2642066638
2268	chr13	49077841	49078250	49077950	12	Intergenic	RMER15|LTR|ERVL	14564	uc007qiq.2	C030044B11Rik	Mus musculus 13 days embryo head cDNA, RIKEN full-length enriched library, clone:3110023O19 product:unclassifiable, full insert sequence.	0.79	3.95	11.86	7.12	3.95	0	0	6.33	2268-Clock_n3R15	0	mle	1	24.0481927711	5.3167556727	9.3996298862	4.6116666667	0.8876582165	0.8626933758	0.865458164	0.000053387	0.0003222639	0.0025263375
2269	chr7	25704951	25705250	25705060	11	intron (uc009fqw.2, intron 16 of 30)	intron (NM_001130152, intron 14 of 28)	17095	uc009fqw.2	Arhgef1	rho guanine nucleotide exchange factor 1 isoform	2.37	10.28	6.33	3.95	1.58	3.16	0	0	2269-Clock_n3R15	0	burg	1	22.6818181818	3.3118531187	6.412769169	4.6116666667	0.6319615846	0.55017527	0.6374046514	0.0111306156	0.0047516443	0.037249774
2270	chr15	71833771	71834030	71833915	9	intron (uc007wbj.2, intron 3 of 63)	intron (NM_027174, intron 3 of 63)	30757	uc007wbj.2	Col22a1	collagen, type XXII, alpha 1	3.95	8.7	8.7	0.79	1.58	3.95	0	0.79	2270-Clock_n3R15	0	burg	1	21.2340425532	3.6054429968	6.4268091253	4.6116666667	0.6453397929	0.5665264136	0.6747720515	0.0094222817	0.0042665478	0.0334469357
2271	chr1	40232071	40232291	40232175	8	Intergenic	Intergenic	-89485	uc007att.1	AK041998	Mus musculus 3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630051J06 product:unclassifiable, full insert sequence.	1.58	3.95	7.12	6.33	4.74	3.95	0	0	2271-Clock_n3R15	1	default	1	24	2.311278611	10.5619979377	4.6116666667	0.8571517524	0.8254076974	0.3891832315	0.0001573755	0.0005643719	0.0044243058
2272	chr2	65386811	65387090	65386980	8	intron (uc012bwa.1, intron 1 of 26)	ORR1E|LTR|MaLR	18599	uc012bwa.1	Scn3a	sodium channel, voltage-gated, type III, alpha	7.12	7.12	3.16	3.95	3.16	3.16	1.58	3.16	2272-Clock_n3R15	0	burg	1	25.5897435897	1.7027915232	0.4946196805	4.6116666667	0.5581435692	0.4599532513	0.3893422754	0.0253375904	0.0082149361	0.0643997088
2273	chr3	41398461	41398760	41398655	8	intron (uc008pcj.2, intron 5 of 10)	intron (NM_001130186, intron 5 of 10)	38954	uc008pcj.2	Phf17	protein Jade-1	6.33	3.95	8.7	3.95	0.79	3.95	0	0	2273-Clock_n3R15	1	default	1	24	1.9970595694	5.335624388	4.6116666667	0.3604016533	0.2182686873	0.5280853517	0.1338390965	0.0257899096	0.2021759698
2274	chr5	125533591	125533960	125533810	8	intron (uc008zqy.1, intron 19 of 48)	intron (NM_011424, intron 19 of 48)	49930	uc008zqt.1	Fam101a	hypothetical protein LOC73121	3.16	0.79	8.7	7.91	4.74	2.37	0	0	2274-Clock_n3R15	1	burg	1	22.8114285714	3.2983320095	11.7515166915	4.6116666667	0.6909555135	0.622278961	0.6218690897	0.0050710104	0.0029516476	0.0231389804
2275	chr9	78039661	78039980	78039765	8	promoter-TSS (uc009qty.2)	promoter-TSS (NM_010357)	47	uc009qty.2	Gsta4	glutathione S-transferase A4	8.7	2.37	0.79	7.91	4.74	3.16	0.79	0	2275-Clock_n3R15	1	mle	1	21.4623655914	2.00866382	17.9629834919	4.6116666667	0.2317794906	0.0610638219	0.6218690897	0.3052716953	0.0481157678	0.3771960499
2276	chr14	70457471	70457731	70457585	8	intron (uc007una.1, intron 6 of 6)	intron (NM_028560, intron 6 of 6)	-19651	uc007unb.1	Egr3	early growth response protein 3	3.95	7.12	4.74	7.12	3.95	0.79	1.58	0.79	2276-Clock_n3R15	0	yule-walker	1	25.4267515924	2.3098224353	7.6371569803	4.6116666667	0.5790940568	0.4855594028	0.4691052593	0.020362578	0.0070715211	0.0554360856
2277	chr19	57441741	57441991	57441850	8	intron (uc008iac.2, intron 1 of 16)	intron (NM_145505, intron 1 of 16)	6367	uc008iac.2	Fam160b1	hypothetical protein LOC226252	0.79	7.12	8.7	3.95	3.95	3.16	0	2.37	2277-Clock_n3R15	1	yule-walker	1	23.2093023256	2.8928723457	8.2915415424	4.6116666667	0.6278795501	0.5451861168	0.5640257158	0.0116970385	0.0049128893	0.0385138284
2278	chr1	41612521	41612780	41612625	7	Intergenic	Intergenic	750204	uc007auq.1	Tmem182	transmembrane protein 182 precursor	6.33	3.16	2.37	7.12	4.74	3.95	0.79	2.37	2278-Clock_n3R15	0	burg	1	21.4623655914	1.2859764885	17.0722450129	4.6116666667	0.2692873289	0.1069067353	0.3631804824	0.2437024374	0.0404376481	0.3170046295
2279	chr5	135511861	135512190	135512075	7	intron (uc008zxk.1, intron 1 of 9)	intron (NM_016801, intron 1 of 9)	12583	uc008zxk.1	Stx1a	syntaxin-1A	3.16	1.58	4.74	3.95	6.33	7.91	2.37	2.37	2279-Clock_n3R15	0	burg	1	27.3424657534	1.8902389422	16.8202440636	4.6116666667	0.5535177998	0.4542995331	0.4477680421	0.0265533105	0.0084424683	0.0661834125
2280	chr15	83951591	83951830	83951680	13	intron (uc007xbv.1, intron 2 of 9)	intron (NM_029427, intron 2 of 9)	1895	uc007xbv.1	Pnpla5	patatin-like phospholipase domain-containing	2.37	11.86	9.49	3.16	0.79	0	0	0.79	2280-Clock_n3R15	1	mle	1	23.0751445087	5.425988362	6.7233538276	4.6116666667	0.7851131245	0.7373604854	0.9670795101	0.0009884268	0.001259767	0.009875747
2281	chr1	133171511	133171930	133171620	11	intron (uc007cnf.1, intron 5 of 21)	intron (NM_019777, intron 5 of 21)	4420	uc007cnf.1	Ikbke	inhibitor of nuclear factor kappa-B kinase	9.49	5.53	3.95	3.16	2.37	3.16	0.79	5.53	2281-Clock_n3R15	1	mle	1	25.7548387097	2.3931824424	25.3217637498	4.61	0.6089976995	0.5221082994	0.5187890032	0.0146152722	0.0056584834	0.0443587968
2282	chr4	106136001	106136360	106136095	11	intron (uc008tyi.2, intron 1 of 11)	intron (NM_153565, intron 1 of 11)	750	uc008tyi.2	Pcsk9	proprotein convertase subtilisin/kexin type 9	2.37	9.49	5.53	3.16	3.95	3.16	0	1.58	2282-Clock_n3R15	1	yule-walker	1	21.8142076503	2.2428514065	6.7869676574	4.61	0.4184911378	0.2892669462	0.5187890032	0.0871973968	0.0191270214	0.1499432981
2283	chr14	70736901	70737120	70737010	11	intron (uc007uns.1, intron 1 of 9)	intron (NM_144808, intron 1 of 9)	11230	uc007uns.1	Slc39a14	zinc transporter ZIP14 isoform a	3.95	5.53	8.7	4.74	3.16	1.58	0	0	2283-Clock_n3R15	0	mle	1	24.0481927711	2.7461933671	7.7276757525	4.61	0.822732714	0.7833399838	0.4794400634	0.0004157466	0.0008448885	0.0066233716
2284	chr5	142916291	142916610	142916495	10	intron (uc009aio.1, intron 2 of 8)	intron (NM_199068, intron 2 of 8)	-23435	uc009aiq.1	C330006K01Rik	hypothetical protein LOC231855	11.86	4.74	2.37	3.16	3.16	2.37	0	1.58	2284-Clock_n3R15	0	burg	1	26.6133333333	3.0178999794	24.4097967372	4.61	0.4476128258	0.3248601205	0.7238946804	0.0691984135	0.0162777576	0.1276069392
2285	chr11	118987761	118988200	118987895	10	Intergenic	Intergenic	-15241	uc007mpy.1	AK149260	Mus musculus adult retina cDNA, RIKEN full-length enriched library, clone:A930003C13 product:unclassifiable, full insert sequence.	2.37	3.95	12.65	2.37	0.79	5.53	3.95	0.79	2285-Clock_n3R15	0	burg	1	21.9340659341	3.3658425775	7.8062537628	4.61	0.3648295981	0.2236806199	0.8426952665	0.1297197597	0.0252844942	0.1982138451
2286	chr14	26308941	26309121	26309050	10	intron (uc007srn.1, intron 1 of 23)	intron (NM_183208, intron 1 of 23)	-28417	uc007srl.1	AK047978	Mus musculus 16 days embryo head cDNA, RIKEN full-length enriched library, clone:C130026E14 product:unclassifiable, full insert sequence.	5.53	3.16	4.74	3.16	3.16	7.91	0	2.37	2286-Clock_n3R15	0	yule-walker	1	25.106918239	1.6620759565	21.8459755934	4.61	0.4420929909	0.3181136556	0.376350018	0.0723649354	0.0167363659	0.1312021278
2287	chr5	91069671	91069850	91069735	9	promoter-TSS (uc008ybd.1)	promoter-TSS (NM_028478)	-247	uc008ybd.1	Rassf6	ras association domain-containing protein 6	3.16	7.12	5.53	3.16	3.95	4.74	1.58	0	2287-Clock_n3R15	0	burg	1	21.9340659341	1.3567074256	5.9734280519	4.61	0.4312681416	0.3048832841	0.3042552283	0.078901272	0.0178024877	0.1395598234
2288	chr7	36342591	36342931	36342785	9	Intergenic	Intergenic	-1814	uc009gka.1	Nudt19	nucleoside diphosphate-linked moiety X motif 19,	2.37	1.58	4.74	11.07	4.74	3.16	0.79	5.53	2288-Clock_n3R15	0	burg	1	22.6818181818	3.5815575284	12.9406620169	4.61	0.6885973327	0.61939674	0.6748168219	0.0052474762	0.0029953973	0.0234819494
2289	chr12	113332471	113332821	113332640	9	Intergenic	Intergenic	-12248	uc007pek.1	Aspg	60 kDa lysophospholipase	4.74	4.74	9.49	2.37	3.16	3.16	0.79	4.74	2289-Clock_n3R15	1	yule-walker	1	22.1777777778	2.1358573338	7.2835564536	4.61	0.4144092836	0.2842780132	0.5092673103	0.0899857672	0.0195456717	0.1532252416
2290	chr14	41914071	41914310	41914200	9	Intergenic	Intergenic	-4480	uc007tcm.1	Mat1a	S-adenosylmethionine synthase isoform type-1	5.53	7.91	4.74	3.95	2.37	3.16	0.79	2.37	2290-Clock_n3R15	1	burg	1	23.4823529412	1.991263038	4.3766127503	4.61	0.7101469939	0.6457352148	0.3891377296	0.0038001448	0.0024968362	0.0195735576
2291	chr18	75095561	75095780	75095670	9	Intergenic	Intergenic	25247	uc008fpu.2	Lipg	endothelial lipase precursor	7.12	3.95	5.53	3.16	3.16	4.74	0	5.53	2291-Clock_n3R15	0	burg	1	25.7548387097	1.2638894515	24.870196259	4.61	0.4337424783	0.3079074734	0.3042552283	0.0773682774	0.0175515386	0.1375925471
2292	chr1	87936761	87937050	87936940	8	Intergenic	Intergenic	-5533	uc007bux.2	2810459M11Rik	hypothetical protein LOC72792 isoform 1	4.74	4.74	7.12	3.16	3.16	4.74	1.58	1.58	2292-Clock_n3R15	0	burg	1	22.5536723164	1.2011308637	5.8164545406	4.61	0.394578945	0.2600409328	0.2877193205	0.1045343065	0.0217213923	0.1702814635
2293	chr3	38027571	38027880	38027675	8	Intergenic	Intergenic	314829	uc008pba.1	AK134652	Mus musculus adult male medulla oblongata cDNA, RIKEN full-length enriched library, clone:6330514A14 product:unclassifiable, full insert sequence.	5.53	3.16	3.16	7.91	3.16	4.74	0.79	2.37	2293-Clock_n3R15	0	yule-walker	1	21.9340659341	0.8632205942	15.3218033821	4.61	0.1154606584	-0.0811036397	0.376350018	0.5757410452	0.0804725713	0.6308521592
2294	chr4	128627751	128628090	128627965	8	exon (uc008uvq.1, exon 5 of 11)	exon (NM_172875, exon 5 of 11)	11741	uc008uvq.1	Adc	antizyme inhibitor 2	3.95	5.53	9.49	5.53	3.16	0	0	1.58	2294-Clock_n3R15	1	default	1	24	3.6090660702	8.1537651732	4.61	0.8499201987	0.8165691317	0.6217781506	0.0001965396	0.0006352505	0.0049799471
2295	chr5	28358441	28358780	28358570	8	Intergenic	Intergenic	-39342	uc012dtq.1	Insig1	insulin-induced gene 1 protein	2.37	3.95	3.95	2.37	9.49	5.53	1.58	5.53	2295-Clock_n3R15	0	mle	1	24.95	1.7156310285	16.7517490445	4.61	0.2847375365	0.1257903223	0.5281390598	0.2213576083	0.0375087627	0.2940440895
2296	chr5	109103721	109104001	109103865	8	intron (uc008yoz.2, intron 1 of 2)	intron (NM_174870, intron 1 of 2)	807	uc008yoz.2	Slc26a1	sulfate anion transporter 1	4.74	3.95	3.16	2.37	5.53	7.91	0	3.95	2296-Clock_n3R15	0	mle	1	24.3414634146	2.1739926031	20.7996318267	4.61	0.7791508604	0.7300732738	0.3891377296	0.0011179714	0.0013437835	0.0105343811
2297	chr5	135662751	135663060	135662865	8	promoter-TSS (uc008zxz.2)	promoter-TSS (NM_011714)	-288	uc008zxz.2	Baz1b	tyrosine-protein kinase BAZ1B	3.95	4.74	8.7	5.53	0	4.74	1.58	0	2297-Clock_n3R15	0	burg	1	23.0751445087	2.5002456502	7.2493785887	4.61	0.480478098	0.3650287864	0.5551337377	0.0525070206	0.0134348005	0.105320021
2298	chr5	140655871	140656250	140656080	8	intron (uc009ahj.1, intron 11 of 17)	intron (NM_010752, intron 11 of 17)	-27279	uc009ahl.1	BC046508	Mus musculus, clone IMAGE:3965211, mRNA.	3.16	4.74	7.91	5.53	3.16	3.16	0	1.58	2298-Clock_n3R15	0	burg	1	22.6818181818	2.1838862622	9.1290517579	4.61	0.8287065675	0.7906413602	0.376350018	0.0003563143	0.0008012004	0.0062808856
2299	chr7	73984411	73984730	73984525	8	promoter-TSS (uc009hhx.1)	promoter-TSS (NM_001033877)	-51	uc009hhx.1	Adamts17	ADAM metallopeptidase with thrombospondin type 1	4.74	4.74	5.53	2.37	7.12	3.16	0	2.37	2299-Clock_n3R15	1	mle	1	23.0751445087	0.0895746408	17.4113427472	4.61	0.0016276563	-0.2202328645	0.3348864241	0.9926963813	0.1267120305	0.9933391806
2300	chr7	75458091	75458340	75458235	8	intron (uc009hjf.1, intron 3 of 8)	intron (NM_001013811, intron 3 of 8)	-38231	uc009hje.1	AK149394	Mus musculus adult male liver tumor cDNA, RIKEN full-length enriched library, clone:C730004M04 product:unclassifiable, full insert sequence.	3.95	4.74	5.53	7.12	3.95	2.37	0.79	3.16	2300-Clock_n3R15	0	mle	1	24.0481927711	1.8347578483	9.6786474271	4.61	0.7877786288	0.7406183241	0.3199376197	0.0009344391	0.0012232713	0.0095896441
2301	chr7	117266401	117266880	117266605	8	intron (uc009jey.1, intron 1 of 10)	intron (NM_009516, intron 1 of 10)	1067	uc009jey.1	Wee1	wee1-like protein kinase	4.74	3.16	7.91	5.53	5.53	0.79	0.79	2.37	2301-Clock_n3R15	0	mle	1	24.0481927711	2.2866494282	9.8766569591	4.61	0.5489466144	0.4487125287	0.479310823	0.0277987816	0.0087119941	0.0682963177
2302	chr9	119069961	119070230	119070050	8	Intergenic	Intergenic	-3884	uc009saj.1	Acaa1b	3-ketoacyl-CoA thiolase B, peroxisomal	3.95	3.95	7.91	4.74	3.95	3.16	0	4.74	2302-Clock_n3R15	1	burg	1	22.9425287356	1.6711296362	9.2135262488	4.61	0.6132276874	0.5272782846	0.335071375	0.0139171144	0.0054890175	0.0430302956
2303	chr11	107087321	107087650	107087505	8	intron (uc007mal.1, intron 8 of 9)	intron (NM_145823, intron 8 of 9)	-36790	uc007mai.2	Nol11	nucleolar protein 11 isoform 1	3.16	3.95	7.91	5.53	3.95	3.16	0	2.37	2303-Clock_n3R15	1	burg	1	23.0751445087	2.0509732104	9.7494273214	4.61	0.7807219089	0.7319934442	0.3631122409	0.0010826263	0.0013228084	0.0103699498
2304	chr19	4133281	4133510	4133395	8	Intergenic	Intergenic	6214	uc008fyw.1	Cabp4	calcium-binding protein 4	5.53	6.33	5.53	3.95	3.95	2.37	0	1.58	2304-Clock_n3R15	1	burg	1	26.2631578947	1.3140408903	3.8737120227	4.61	0.652862023	0.5757202504	0.2875039096	0.0085557794	0.0040162663	0.0314848927
2305	chr19	41072941	41073290	41073135	8	Intergenic	Intergenic	-4090	uc008hll.1	Blnk	B-cell linker protein	3.95	3.95	5.53	3.95	7.91	2.37	0	3.95	2305-Clock_n3R15	0	mle	1	24.0481927711	1.1865978913	12.619173628	4.61	0.2340319379	0.0638168129	0.376350018	0.3012645128	0.047649267	0.3735389894
2306	chr1	7387881	7388121	7388060	7	promoter-TSS (uc007age.1)	CpG	-51	uc007age.1	AK043789	Mus musculus 10 days neonate cortex cDNA, RIKEN full-length enriched library, clone:A830033B12 product:ENV POLYPROTEIN PRECURSOR (COAT POLYPROTEIN) [CONTAINS: SURFACE PROTEIN; TRANSMEMBRANE PROTEIN] homolog [Mouse intracisternal a-particle], full insert sequence.	5.53	7.12	3.95	3.16	2.37	5.53	0	0.79	2306-Clock_n3R15	1	mle	1	22.8114285714	1.9449129189	2.7045500768	4.61	0.7520053736	0.6968954567	0.3491958671	0.0018836067	0.0017765866	0.0139272735
2307	chr1	155548541	155548900	155548745	7	Intergenic	MIR|SINE|MIR	-38763	uc007dae.2	Rgs16	regulator of G-protein signaling 16	3.16	4.74	7.91	3.95	3.16	4.74	0	5.53	2307-Clock_n3R15	0	burg	1	22.0552486188	1.573576115	8.1774944366	4.61	0.4734062127	0.3563853711	0.349373243	0.0558008468	0.0139709072	0.1095227459
2308	chr1	174627581	174627990	174627700	7	promoter-TSS (uc011wwq.1)	promoter-TSS (NM_007768)	-402	uc011wwq.1	Crp	C-reactive protein precursor	5.53	5.53	7.91	5.53	2.37	0.79	0	4.74	2308-Clock_n3R15	0	mle	1	24.7950310559	2.7105600036	6.8466891787	4.61	0.7639947494	0.7115491381	0.5090239431	0.0015071188	0.0015746889	0.012344528
2309	chr2	3249671	3249941	3249905	7	promoter-TSS (uc008ids.2)	promoter-TSS (NM_001013376)	94	uc008ids.2	Rpp38	ribonuclease P protein subunit p38	4.74	3.95	7.91	5.53	1.58	3.95	1.58	0	2309-Clock_n3R15	1	default	1	24	1.7770551522	7.3666242501	4.61	0.4474288406	0.3246352496	0.4135285307	0.0693021906	0.016286088	0.1276722445
2310	chr6	38803831	38804070	38803955	7	intron (uc009bkx.2, intron 1 of 14)	intron (NM_010433, intron 1 of 14)	22239	uc009bkx.2	Hipk2	homeodomain-interacting protein kinase 2 isoform	7.91	4.74	3.95	4.74	4.74	1.58	0	2.37	2310-Clock_n3R15	0	default	1	24	0.5432556964	2.3228507173	4.61	0.0513939001	-0.1594074555	0.4015183796	0.7886541784	0.1047599216	0.8212490501
2311	chr8	47614981	47615330	47615090	7	intron (uc009lqe.1, intron 15 of 20)	intron (NM_007981, intron 15 of 20)	-22268	uc009lqg.1	Mlf1ip	centromere protein U	5.53	6.33	5.53	3.95	1.58	4.74	0	2.37	2311-Clock_n3R15	0	burg	1	23.0751445087	1.7878502549	4.2660636894	4.61	0.7095810635	0.645043522	0.334701371	0.0038336476	0.0024968362	0.0195735576
2312	chr8	126285491	126285920	126285665	7	Intergenic	Intergenic	-7577	uc009nwn.1	AK076318	Mus musculus 10 days neonate skin cDNA, RIKEN full-length enriched library, clone:4732419C18 product:unclassifiable, full insert sequence.	3.95	3.95	3.95	2.37	7.91	5.53	0.79	3.95	2312-Clock_n3R15	1	default	1	24	1.4026142455	18.7046163927	4.61	0.3491755006	0.2045478341	0.376350018	0.1447396501	0.0272930457	0.2139595707
