ID	Chr	Start	End	SummitPosition	Height	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Symbol	Description	Cry2_CT0/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT4/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT8/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT12/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT16/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_CT20/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry2_KO/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	Cry_Input/ Tag Count in given bp (11356331.0 Total, normalization factor = 0.88, effective total = 10000000)	ARSER(PeakID)	filter_type	ar_method	period_number	period	amplitude	phase	mean	R_square	R2_adjust	coef_var	pvalue	qvalue	fdr_BH
6218	chr12	16625261	16625530	16625365	8	Intergenic	Lx8|LINE|L1	-28819	uc007nbs.2	Lpin1	phosphatidate phosphatase LPIN1 isoform b	2.64	3.52	3.52	7.93	5.28	5.28	1.76	10.57	6218-Cry2_n3R17	0	burg	1	23.6213017751	1.7724424234	13.8128712539	4.695	0.5741756521	0.4795480193	0.3702840329	0.0214554291	0.0080783823	0.053545887
6219	chr12	74939221	74939520	74939405	8	Intergenic	Intergenic	-69484	uc007nwq.2	Hif1a	hypoxia-inducible factor 1-alpha	1.76	0.88	5.28	8.81	6.16	5.28	1.76	13.21	6219-Cry2_n3R17	1	burg	1	23.4823529412	3.1752994252	13.5536398777	4.695	0.7885244653	0.7415299021	0.5697457691	0.0009197517	0.001570872	0.0104122006
6220	chr13	24972741	24973030	24972850	8	intron (uc007pwn.1, intron 14 of 20)	intron (NM_001081051, intron 14 of 20)	-24577	uc011yxs.1	AK006712	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:1700047I16 product:aldehyde dehydrogenase family 5, subfamily A1, full insert sequence.	3.52	1.76	7.93	6.16	6.16	2.64	1.76	14.09	6220-Cry2_n3R17	0	mle	1	24.0481927711	2.4701969812	11.4420296497	4.695	0.6344352412	0.5531986282	0.4680633346	0.0107979037	0.0051955272	0.0344374783
6221	chr13	39532281	39532491	39532425	8	Intergenic	Intergenic	354367	uc007qeb.1	AK029768	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930539H17 product:unclassifiable, full insert sequence.	6.16	2.64	7.93	4.4	4.4	2.64	2.64	14.09	6221-Cry2_n3R17	1	default	1	24	1.0829793308	8.6807165501	4.695	0.172874113	-0.0109316397	0.4006633599	0.4256692323	0.0747200085	0.4952661321
6222	chr13	112541441	112541750	112541635	8	intron (uc007rwa.1, intron 17 of 19)	intron (NM_011945, intron 17 of 19)	57596	uc007rwa.1	Map3k1	mitogen-activated protein kinase kinase kinase	2.64	4.4	2.64	8.81	6.16	3.52	1.76	7.93	6222-Cry2_n3R17	1	mle	1	23.0751445087	2.1966485539	13.5339219099	4.695	0.511762777	0.4032656163	0.4682054659	0.0397044323	0.0123735061	0.0820152273
6223	chr14	52548991	52549281	52549165	8	Intergenic	Intergenic	-6688	uc007tnn.2	Rnase13	ribonuclease-like protein 13 precursor	3.52	2.64	1.76	4.4	8.81	7.04	0.88	12.33	6223-Cry2_n3R17	1	yule-walker	1	23.2093023256	2.8771357745	17.8711261941	4.695	0.7692883022	0.718019036	0.5270374897	0.0013608594	0.0017838174	0.0118236649
6224	chr14	55201411	55201680	55201525	8	TTS (uc007twk.1)	TTS (NM_028890)	-5292	uc007twj.1	Jub	protein ajuba	1.76	2.64	8.81	7.04	3.52	4.4	3.52	11.45	6224-Cry2_n3R17	0	burg	1	23.0751445087	2.7596038081	10.6921885643	4.695	0.6603371083	0.5848564657	0.5270374897	0.0077574049	0.0042066117	0.0278826559
6225	chr14	62178771	62179110	62178875	8	Intergenic	Intergenic	-3217	uc007ufx.1	6330409N04Rik	chronic lymphocytic leukemia deletion region	6.16	2.64	7.93	3.52	6.16	1.76	0.88	7.93	6225-Cry2_n3R17	1	default	1	24	1.0216576735	9.7256329934	4.695	0.1114473619	-0.0860087799	0.4680633346	0.5875897656	0.0968758138	0.6421213079
6226	chr14	68192551	68192800	68192685	8	Intergenic	(CA)n|Simple_repeat|Simple_repeat	140992	uc007ulc.2	Cdca2	cell division cycle-associated protein 2	3.52	4.4	6.16	1.76	7.93	4.4	0.88	6.16	6226-Cry2_n3R17	0	mle	1	25.9220779221	0.4715378866	15.0537114631	4.695	0.0321449602	-0.1829339375	0.4150199506	0.863269548	0.1334429065	0.8844987231
6227	chr15	85499871	85500121	85500035	8	Intergenic	Intergenic	23483	uc007xdi.1	AK041762	Mus musculus 3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630035J15 product:unclassifiable, full insert sequence.	6.16	2.64	4.4	3.52	7.93	3.52	0	7.04	6227-Cry2_n3R17	0	burg	1	22.4269662921	1.4394552887	17.6717650747	4.695	0.2986265381	0.1427657688	0.3857728561	0.2026618403	0.0417216836	0.2765435558
6228	chr16	4395081	4395411	4395315	8	intron (uc007xzq.1, intron 1 of 9)	B3A|SINE|B2	24342	uc007xzq.1	Adcy9	adenylate cyclase type 9	2.64	1.76	6.16	5.28	7.93	4.4	1.76	8.81	6228-Cry2_n3R17	0	burg	1	24.490797546	2.2138276945	13.4628742091	4.695	0.6321573165	0.5504144979	0.442337453	0.0111040025	0.0052745897	0.0349615276
6229	chr16	32666791	32667100	32666945	8	intron (uc012aep.1, intron 1 of 2)	intron (NR_033493, intron 1 of 2)	1338	uc012aep.1	Gm10818	Mus musculus 3 days neonate thymus cDNA, RIKEN full-length enriched library, clone:A630028F13 product:hypothetical protein, full insert sequence.	6.16	1.76	9.69	3.52	5.28	1.76	3.52	14.97	6229-Cry2_n3R17	1	default	1	24	1.5649279344	9.1583462813	4.695	0.1634001019	-0.0225109865	0.5900543851	0.448053767	0.0779433432	0.5166313394
6230	chr16	93593001	93593211	93593150	8	intron (uc007zzq.2, intron 6 of 11)	intron (NM_145482, intron 6 of 11)	10954	uc007zzq.2	Setd4	SET domain-containing protein 4	4.4	3.52	5.28	3.52	8.81	2.64	0.88	14.09	6230-Cry2_n3R17	1	default	1	24	1.2138456035	14.350415955	4.695	0.1822927199	0.000579991	0.4290513535	0.4042875704	0.0717203477	0.4753835005
6231	chr17	47440641	47440880	47440765	8	intron (uc008cuv.1, intron 2 of 16)	B4A|SINE|B4	-65076	uc008cuy.2	Mrps10	28S ribosomal protein S10, mitochondrial isoform	4.4	0	7.93	3.52	7.04	5.28	2.64	5.28	6231-Cry2_n3R17	1	default	1	24	1.5497429423	14.7166164428	4.695	0.1883245864	0.0079522723	0.5486859807	0.3910396174	0.0698904053	0.463254105
6232	chr18	12353131	12353430	12353285	8	intron (uc008ecb.1, intron 21 of 24)	intron (NM_008720, intron 21 of 24)	26041	uc008eca.1	3110002H16Rik	colon cancer-associated protein Mic1 homolog	2.64	1.76	7.04	2.64	8.81	5.28	1.76	9.69	6232-Cry2_n3R17	0	mle	1	25.4267515924	1.7016439188	14.3507274532	4.695	0.248824877	0.0818970719	0.5488072326	0.2759531688	0.0530375146	0.3515482027
6233	chr18	56575141	56575390	56575245	8	Intergenic	Intergenic	-16508	uc008eyl.1	Gramd3	GRAM domain-containing protein 3	7.93	2.64	5.28	5.28	3.52	3.52	3.52	11.45	6233-Cry2_n3R17	0	default	1	24	0.3081813404	0.2348415015	4.695	0.0169431625	-0.2015139125	0.3702840329	0.9259847342	0.1413940882	0.9372014879
6234	chr19	41072951	41073260	41073145	8	Intergenic	Intergenic	-4080	uc008hll.1	Blnk	B-cell linker protein	3.52	0.88	4.4	5.28	9.69	4.4	0.88	5.28	6234-Cry2_n3R17	0	burg	1	22.9425287356	2.9603928793	15.6733662059	4.695	0.6601549784	0.5846338625	0.5594934164	0.0077761406	0.0042091434	0.0278994369
6235	chr1	91353271	91353510	91353390	7	intron (uc007byw.1, intron 1 of 17)	intron (NM_178119, intron 1 of 17)	2004	uc007byw.1	Agap1	arf-GAP with GTPase, ANK repeat and PH	2.64	1.76	5.28	5.28	5.28	7.93	0	4.4	6235-Cry2_n3R17	0	default	1	24	1.5373803326	16.0071723204	4.695	0.3628797172	0.2212974321	0.4288962472	0.1315214051	0.0300131608	0.1989360327
6236	chr2	52230271	52230670	52230435	7	Intergenic	RLTR14|LTR|ERV1	-36152	uc008jqv.1	Neb	nebulin	2.64	5.28	10.57	4.4	2.64	2.64	3.52	15.85	6236-Cry2_n3R17	0	burg	1	22.5536723164	3.2893887042	8.5284573127	4.695	0.7040806509	0.6383207956	0.6000064016	0.0041713836	0.0029388466	0.019479537
6237	chr2	155521111	155521570	155521295	7	Intergenic	RSINE1|SINE|B4	-3220	uc008nlc.2	Trpc4ap	short transient receptor potential channel	5.28	1.76	9.69	5.28	3.52	2.64	1.76	14.09	6237-Cry2_n3R17	0	burg	1	22.3016759777	2.0396584103	10.2137666554	4.695	0.3366566247	0.1892469857	0.5489284576	0.1576967646	0.0344947146	0.2286410857
6238	chr3	94819461	94819760	94819530	7	promoter-TSS (uc008qhp.1)	promoter-TSS (NM_030074)	-450	uc008qhp.1	Zfp687	zinc finger protein 687	3.52	5.28	2.64	2.64	9.69	4.4	3.52	1.76	6238-Cry2_n3R17	1	burg	1	21.5783783784	1.6431709327	18.5240152102	4.695	0.226804634	0.0549834416	0.515937164	0.3142690344	0.0587580437	0.3894655477
6239	chr4	35061171	35061421	35061330	7	intron (uc008sgs.1, intron 1 of 3)	MIR|SINE|MIR	-38008	uc008sgu.1	Ifnk	interferon kappa precursor	3.52	2.64	3.52	8.81	3.52	6.16	2.64	18.49	6239-Cry2_n3R17	1	default	1	24	1.5251963785	13.9930822175	4.695	0.2696212472	0.1073148577	0.4555281845	0.24320169	0.0481066731	0.3188651389
6240	chr4	122656181	122656441	122656290	7	Intergenic	Intergenic	-17031	uc008uoq.1	Mycl1	protein L-Myc-1	2.64	0.88	6.16	7.04	8.81	2.64	0.88	4.4	6240-Cry2_n3R17	1	yule-walker	1	22.5536723164	3.4064003221	13.8750471072	4.695	0.7540597143	0.6994063175	0.5997845745	0.0018144021	0.0019739446	0.0130838836
6241	chr4	138019741	138020120	138020005	7	Intergenic	Intergenic	8867	uc008vkz.2	Camk2n1	calcium/calmodulin-dependent protein kinase II	8.81	1.76	3.52	5.28	3.52	5.28	3.52	8.81	6241-Cry2_n3R17	0	mle	1	24.1939393939	1.597467298	20.9893054325	4.695	0.2653981294	0.1021532692	0.4682054659	0.2495939963	0.049046716	0.3250960194
6242	chr5	139266971	139267311	139267130	7	intron (uc009afv.2, intron 3 of 9)	intron (NM_030565, intron 3 of 9)	-28893	uc012efo.1	Gm5294	forkhead box L1-like	8.81	1.76	6.16	3.52	6.16	1.76	1.76	15.85	6242-Cry2_n3R17	1	mle	1	27.3424657534	0.4151178991	25.4858979465	4.695	0.0135301582	-0.2056853621	0.5488072326	0.9405397539	0.1432580408	0.9495563124
6243	chr5	147082251	147082570	147082385	7	intron (uc009and.1, intron 3 of 12)	intron (NM_153599, intron 3 of 12)	39159	uc009and.1	Cdk8	cell division protein kinase 8	4.4	1.76	7.93	4.4	3.52	6.16	0.88	8.81	6243-Cry2_n3R17	1	default	1	24	0.5308897326	11.0500693086	4.695	0.03776182	-0.1760688867	0.4150199506	0.8409528223	0.1305402111	0.8652588066
6244	chr5	148559631	148560100	148559825	7	Intergenic	Intergenic	-22301	uc009aoh.1	Flt1	vascular endothelial growth factor receptor 1	1.76	0.88	4.4	7.04	7.93	6.16	0	7.04	6244-Cry2_n3R17	0	mle	1	23.9041916168	3.0624391976	14.7397157972	4.695	0.8235509673	0.7843400711	0.5592555202	0.0004071803	0.001452221	0.0096257468
6245	chr6	89247371	89247660	89247555	7	Intergenic	Intergenic	-11796	uc009cwf.1	AK155560	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930512J16 product:unclassifiable, full insert sequence.	2.64	1.76	6.16	6.16	8.81	2.64	1.76	5.28	6245-Cry2_n3R17	1	yule-walker	1	23.0751445087	2.9173911287	13.5202972856	4.695	0.6913330473	0.6227403912	0.5380324777	0.0050431932	0.0032513638	0.021550993
6246	chr6	134505241	134505511	134505405	7	intron (uc009ekl.2, intron 1 of 22)	intron (NM_008514, intron 1 of 22)	11555	uc009ekl.2	Lrp6	low-density lipoprotein receptor-related protein	3.52	1.76	3.52	5.28	6.16	7.93	2.64	9.69	6246-Cry2_n3R17	1	burg	1	25.5897435897	2.099417818	17.1987675051	4.695	0.7096036258	0.6450710982	0.4288962472	0.0038323075	0.0028134318	0.0186482513
6247	chr6	135118071	135118560	135118275	7	promoter-TSS (uc009elh.1)	promoter-TSS (NM_013546)	-82	uc009elh.1	Hebp1	heme-binding protein 1	5.28	1.76	2.64	5.28	10.57	2.64	0.88	7.04	6247-Cry2_n3R17	0	burg	1	22.1777777778	3.0926417373	16.5307171446	4.695	0.5143798484	0.4064642592	0.6286008084	0.0387556612	0.0121600958	0.0806006816
6248	chr6	146908531	146908850	146908650	7	intron (uc009esn.2, intron 2 of 27)	intron (NM_026221, intron 2 of 26)	-5747	uc009eso.2	1700034J05Rik	hypothetical protein LOC73344 isoform 1	2.64	4.4	2.64	4.4	7.93	6.16	2.64	8.81	6248-Cry2_n3R17	1	default	1	24	1.7147812787	17.1489837886	4.695	0.4875014043	0.3736128275	0.4006633599	0.0493875018	0.014408903	0.0955064353
6249	chr8	24277991	24278260	24278160	7	Intergenic	Intergenic	14382	uc009len.1	Nkx6-3	homeobox protein Nkx-6.3	3.52	3.52	4.4	7.93	6.16	2.64	0.88	1.76	6249-Cry2_n3R17	1	burg	1	22.1777777778	2.1805195515	13.3833760671	4.695	0.7358995814	0.6772105995	0.3857728561	0.0025001203	0.0022423977	0.0148632694
6250	chr8	62246941	62247221	62247165	7	Intergenic	Intergenic	-737840	uc009lte.1	Aadat	kynurenine/alpha-aminoadipate aminotransferase,	3.52	4.4	4.4	7.93	2.64	5.28	2.64	14.09	6250-Cry2_n3R17	0	burg	1	22.4269662921	1.0252448239	11.364457128	4.695	0.20348086	0.0264766067	0.3541183892	0.3592385814	0.0652697141	0.4326268086
6251	chr9	57071161	57071451	57071395	7	Intergenic	Intergenic	-13057	uc009puo.1	Trcg1	taste receptor cell protein 1 precursor	6.16	2.64	7.93	2.64	5.28	3.52	1.76	10.57	6251-Cry2_n3R17	0	mle	1	25.9220779221	0.4066364597	5.0929982303	4.695	0.0226635947	-0.1945222731	0.4150199506	0.9019829815	0.1383523899	0.9170402196
6252	chr10	116893531	116893900	116893675	7	Intergenic	Intergenic	-9224	uc007hdh.1	AK076673	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930408P19 product:unclassifiable, full insert sequence.	4.4	0	9.69	1.76	7.04	5.28	4.4	13.21	6252-Cry2_n3R17	0	mle	1	24.95	1.0545310797	13.8141576309	4.695	0.0565358631	-0.1531228339	0.6821059243	0.7695986257	0.1211531654	0.8030387146
6253	chr11	50104491	50104810	50104675	7	intron (uc007isd.2, intron 1 of 4)	intron (NM_175334, intron 1 of 4)	1188	uc007isd.2	Maml1	mastermind-like protein 1	3.52	1.76	3.52	6.16	5.28	7.93	1.76	19.37	6253-Cry2_n3R17	1	burg	1	26.091503268	1.8980569432	16.7279586981	4.695	0.57832893	0.4846242477	0.4288962472	0.0205296775	0.0078328997	0.0519187564
6254	chr11	74708241	74708500	74708295	7	intron (uc007kck.1, intron 1 of 22)	intron (NM_197943, intron 1 of 22)	2212	uc007kck.1	Sgsm2	small G protein signaling modulator 2	4.4	3.52	4.4	6.16	1.76	7.93	2.64	12.33	6254-Cry2_n3R17	1	yule-walker	1	27.5310344828	0.6812483921	19.906021963	4.695	0.0573727441	-0.1520999794	0.4150199506	0.7665314341	0.1207326203	0.8002512184
6255	chr11	101561791	101562111	101561980	7	Intergenic	Intergenic	-32319	uc007lpr.1	Dhx8	ATP-dependent RNA helicase DHX8	4.4	3.52	4.4	5.28	7.93	2.64	1.76	7.04	6255-Cry2_n3R17	0	burg	1	22.8114285714	1.5618569604	14.5966064791	4.695	0.428454523	0.301444417	0.3541183892	0.0806730664	0.0207502489	0.1375387355
6256	chr11	106375791	106376210	106375895	7	intron (uc007lzc.1, intron 8 of 11)	intron (NM_198292, intron 8 of 11)	13695	uc011ygj.1	Snord104	Mus musculus small nucleolar RNA, C/D box 104 (Snord104), small nucleolar RNA.	2.64	6.16	9.69	2.64	3.52	3.52	3.52	12.33	6256-Cry2_n3R17	0	burg	1	22.1777777778	2.6241704426	7.7965582782	4.695	0.5340219734	0.4304713008	0.5381561299	0.0321843298	0.010670988	0.0707304384
6257	chr12	101425701	101426090	101425805	7	promoter-TSS (uc007osp.1)	Intergenic	-283	uc007osp.1	AK141725	Mus musculus 9 days embryo whole body cDNA, RIKEN full-length enriched library, clone:D030044C16 product:hypothetical protein, full insert sequence.	3.52	3.52	4.4	7.93	6.16	2.64	1.76	6.16	6257-Cry2_n3R17	1	burg	1	22.1777777778	2.1805195515	13.3833760671	4.695	0.7358995814	0.6772105995	0.3857728561	0.0025001203	0.0022423977	0.0148632694
6258	chr13	31271251	31271640	31271355	7	Intergenic	Intergenic	150246	uc007pzh.1	AK137190	Mus musculus adult male urinary bladder cDNA, RIKEN full-length enriched library, clone:9530037F02 product:unclassifiable, full insert sequence.	7.04	0.88	7.93	2.64	5.28	4.4	3.52	6.16	6258-Cry2_n3R17	1	default	1	24	0.3332114559	19.2608966471	4.695	0.0094970644	-0.2106146991	0.5156791745	0.9579678885	0.1453899301	0.9636870998
6259	chr13	59623081	59623400	59623285	7	intron (uc007qun.1, intron 8 of 25)	RSINE1|SINE|B4	35440	uc007qun.1	Agtpbp1	cytosolic carboxypeptidase 1 isoform 1	0.88	0.88	6.16	5.28	6.16	8.81	0.88	6.16	6259-Cry2_n3R17	0	default	1	24	2.2292198231	15.1267970308	4.695	0.3704017966	0.2304910848	0.6190011298	0.1246768038	0.0288175443	0.191011136
6260	chr15	7087821	7088170	7087930	7	Intergenic	intron (NM_001113386, intron 2 of 16)	-2547	uc007vdy.2	Lifr	leukemia inhibitory factor receptor isoform 1	1.76	1.76	7.04	4.4	5.28	7.93	2.64	9.69	6260-Cry2_n3R17	0	default	1	24	1.319929993	14.4997928097	4.695	0.1842553885	0.0029788081	0.5041969651	0.399939189	0.0711143685	0.4713668922
6261	chr15	9903621	9904020	9903720	7	Intergenic	Intergenic	-203173	uc007vfy.2	Prlr	prolactin receptor precursor	1.76	1.76	5.28	5.28	5.28	8.81	1.76	15.85	6261-Cry2_n3R17	0	default	1	24	1.7076364727	16.0064572193	4.695	0.3141053549	0.1616843227	0.5158081854	0.1832982654	0.0386642359	0.2562778956
6262	chr15	41662211	41662580	41662405	7	intron (uc007vot.2, intron 11 of 16)	promoter-TSS (NM_001130164)	38871	uc007vpb.1	Abra	actin-binding Rho-activating protein	6.16	1.76	10.57	4.4	3.52	1.76	1.76	17.61	6262-Cry2_n3R17	0	burg	1	22.8114285714	2.1707965714	9.2222260675	4.695	0.2738546466	0.1124890125	0.6469620076	0.2369223502	0.0471581375	0.3125779669
6263	chr16	23919571	23919890	23919715	7	Intergenic	MTC|LTR|MaLR	11150	uc007yty.1	Rtp2	receptor-transporting protein 2	3.52	3.52	8.81	3.52	3.52	5.28	2.64	8.81	6263-Cry2_n3R17	0	burg	1	22.5536723164	1.295370626	8.3062933118	4.695	0.2234865799	0.0509280421	0.415180241	0.3203836511	0.0596453827	0.3953470905
6264	chr16	31425601	31426100	31425785	7	intron (uc007yxi.2, intron 1 of 6)	intron (NM_175177, intron 1 of 6)	3467	uc007yxi.2	Bdh1	D-beta-hydroxybutyrate dehydrogenase,	3.52	1.76	6.16	3.52	5.28	7.93	0.88	9.69	6264-Cry2_n3R17	0	mle	1	25.9220779221	1.2784908005	17.3951756217	4.695	0.2423831434	0.0740238419	0.4288962472	0.2867631421	0.0546991275	0.3625618606
6265	chr16	65672511	65672790	65672625	7	Intergenic	Intergenic	-109708	uc007zqj.1	Chmp2b	charged multivesicular body protein 2b	8.81	0.88	4.4	0.88	6.16	7.04	0	14.97	6265-Cry2_n3R17	0	yule-walker	1	24.1939393939	3.1765303962	21.0016039666	4.695	0.5585390682	0.460436639	0.6376388175	0.0252356933	0.008980748	0.059527032
6266	chr17	26743461	26743810	26743655	7	intron (uc008bef.1, intron 1 of 9)	intron (NM_026170, intron 1 of 9)	45178	uc008bef.1	Ergic1	endoplasmic reticulum-Golgi intermediate	1.76	1.76	4.4	7.93	7.04	5.28	0.88	8.81	6266-Cry2_n3R17	1	default	1	24	2.859795093	13.8483205118	4.695	0.8506496374	0.8174606679	0.5041969651	0.0001922774	0.0013151426	0.0087171508
6267	chr17	32077531	32077790	32077645	7	Intergenic	Intergenic	-84923	uc008bvr.1	Sik1	serine/threonine-protein kinase SIK1	5.28	1.76	6.16	7.93	2.64	4.4	3.52	7.04	6267-Cry2_n3R17	0	yule-walker	1	23.2093023256	1.3787059846	11.7371461507	4.695	0.2263582252	0.0544378308	0.442337453	0.3150863626	0.0588747733	0.3902392657
6268	chr17	33102561	33103030	33102780	7	promoter-TSS (uc008bxv.2)	promoter-TSS (NR_033585)	19	uc008bxv.2	Zfp472	zinc finger protein 472	4.4	1.76	4.4	3.52	3.52	10.57	0.88	13.21	6268-Cry2_n3R17	0	burg	1	26.091503268	2.4348857721	19.9399092126	4.695	0.4013379243	0.2683019074	0.5901671378	0.0993843181	0.0243115055	0.1611437888
6269	chr18	12326971	12327290	12327180	7	promoter-TSS (uc008eca.1)	promoter-TSS (NM_029623)	-109	uc008eca.1	3110002H16Rik	colon cancer-associated protein Mic1 homolog	5.28	2.64	2.64	8.81	4.4	4.4	0.88	2.64	6269-Cry2_n3R17	0	burg	1	21.9340659341	1.6991170337	15.3962247633	4.695	0.3133814252	0.1607995196	0.4424878477	0.1841704572	0.0388160047	0.2572838638
6270	chr2	73224341	73224620	73224510	13	promoter-TSS (uc008kct.1)	promoter-TSS (NM_001190297)	-25	uc008kco.2	Gpr155	integral membrane protein GPR155 isoform 1	0.88	1.76	0.88	14.09	7.04	3.52	0	1.76	6270-Cry2_n3R17	0	burg	1	23.2093023256	4.9791830864	13.822416472	4.695	0.5804089495	0.4871664938	1.0023041975	0.0200778856	0.0077042484	0.0510660183
6271	chr1	190677121	190677440	190677220	11	intron (uc007eaf.1, intron 57 of 70)	intron (NM_021408, intron 57 of 70)	154439	uc007eai.1	Kctd3	BTB/POZ domain-containing protein KCTD3	3.52	1.76	2.64	3.52	10.57	6.16	0.88	7.04	6271-Cry2_n3R17	0	burg	1	24.0481927711	3.1211507926	17.2567301976	4.695	0.6293873751	0.5470290141	0.6286008084	0.0114852629	0.0053902266	0.0357280026
6272	chr4	148220331	148220590	148220445	11	intron (uc008vvn.2, intron 2 of 20)	intron (NM_001159344, intron 2 of 20)	41959	uc008vvn.2	Casz1	zinc finger protein castor homolog 1 isoform 1	5.28	2.64	1.76	10.57	4.4	3.52	0.88	1.76	6272-Cry2_n3R17	0	burg	1	21.8142076503	2.2903321555	14.9647130294	4.695	0.302663939	0.1477003699	0.6096868978	0.1974647406	0.0409168488	0.2712088748
6273	chr10	92607911	92608121	92608015	11	Intergenic	Charlie24|DNA|MER1_type	-15605	uc007gul.2	Cdk17	cell division protein kinase 17	5.28	0.88	1.76	3.52	10.57	6.16	1.76	4.4	6273-Cry2_n3R17	0	burg	1	22.5536723164	3.7929468795	18.063530504	4.695	0.7236964951	0.6622957163	0.6822034631	0.0030636473	0.0024763744	0.016414136
6274	chr10	127191971	127192290	127192085	11	Intergenic	Intergenic	-3276	uc007hkm.1	Gpr182	G-protein coupled receptor 182	0.88	4.4	2.64	11.45	5.28	3.52	3.52	8.81	6274-Cry2_n3R17	0	burg	1	23.2093023256	3.3386481853	12.6621196633	4.695	0.5277996398	0.4228662264	0.7075775099	0.0341639764	0.0111060557	0.0736141947
6275	chr14	31688651	31688900	31688785	11	3' UTR (uc007svt.2, exon 8 of 8)	3' UTR (NM_028839, exon 8 of 8)	-3668	uc007svu.2	Mustn1	musculoskeletal embryonic nuclear protein 1	0	1.76	2.64	11.45	5.28	7.04	4.4	3.52	6275-Cry2_n3R17	0	mle	1	24.3414634146	3.6577454572	13.6194078333	4.695	0.5318573504	0.4278256505	0.8080232307	0.0328626014	0.0108193946	0.0717141209
6276	chr2	4838671	4838841	4838785	10	Intergenic	Intergenic	-1286	uc008ifd.2	Phyh	phytanoyl-CoA dioxygenase, peroxisomal	0.88	2.64	9.69	4.4	4.4	6.16	2.64	6.16	6276-Cry2_n3R17	1	default	1	24	2.0465804982	10.4037219614	4.695	0.2881165506	0.1299202285	0.5900543851	0.2166905802	0.0439162508	0.2910897909
6277	chr3	89198841	89199190	89199015	10	intron (uc008pzf.1, intron 1 of 1)	Intergenic	803	uc008pzf.1	AK136654	Mus musculus adult male epididymis cDNA, RIKEN full-length enriched library, clone:9230018K07 product:hypothetical protein, full insert sequence.	5.28	1.76	5.28	4.4	0.88	10.57	1.76	7.93	6277-Cry2_n3R17	0	burg	1	26.2631578947	1.975262855	21.1799955576	4.695	0.1860767312	0.0052048937	0.664816292	0.3959365459	0.070562785	0.4677108354
6278	chr6	38703841	38704070	38703955	10	intron (uc009bkx.2, intron 2 of 14)	intron (NM_001136065, intron 2 of 14)	35121	uc009bla.1	AK076827	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930417C18 product:unclassifiable, full insert sequence.	2.64	1.76	6.16	5.28	8.81	3.52	0.88	7.04	6278-Cry2_n3R17	1	mle	1	23.4823529412	2.5372467372	13.774346853	4.695	0.6078010483	0.5206457257	0.5043289132	0.0148176362	0.0063423692	0.0420390834
6279	chr11	75237641	75237880	75237755	10	Intergenic	Intergenic	-1635	uc007kdp.1	Serpinf1	pigment epithelium-derived factor precursor	2.64	1.76	5.28	1.76	9.69	7.04	4.4	13.21	6279-Cry2_n3R17	1	yule-walker	1	26.2631578947	2.285925281	16.7872039586	4.695	0.3647057369	0.223529234	0.6284949508	0.1298336304	0.0297597438	0.1972563108
6280	chr11	101032661	101032881	101032770	10	promoter-TSS (uc007lnq.1)	promoter-TSS (NM_146030)	-155	uc007lnq.1	Plekhh3	pleckstrin homology domain-containing family H	3.52	2.64	3.52	6.16	8.81	3.52	1.76	8.81	6280-Cry2_n3R17	0	burg	1	22.6818181818	2.4681589665	15.2942919582	4.695	0.6689412987	0.5953726984	0.4555281845	0.0069115035	0.0039278505	0.0260349453
6281	chr14	26564861	26565170	26565055	10	intron (uc011zho.1, intron 2 of 3)	intron (NM_001101433, intron 2 of 3)	23327	uc011zho.1	Zcchc24	zinc finger CCHC domain-containing protein 24	3.52	0.88	5.28	12.33	2.64	3.52	0	11.45	6281-Cry2_n3R17	0	burg	1	22.6818181818	3.4894304068	12.5604817453	4.695	0.4705550178	0.3529005774	0.7785838996	0.0571733664	0.016070364	0.1065190857
6282	chr16	8829901	8830190	8830005	10	promoter-TSS (uc007yda.2)	promoter-TSS (NM_001081400)	-148	uc007yda.2	1810013L24Rik	hypothetical protein LOC69053	3.52	1.76	2.64	4.4	9.69	6.16	0	6.16	6282-Cry2_n3R17	0	burg	1	23.7619047619	2.9602933689	17.045007445	4.695	0.7196428865	0.6573413057	0.5594934164	0.0032711624	0.0025838618	0.0171265936
